"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,40,NA,1,7,NA,NA,2656474286,7,NA,NA,NA,NA,2,NA,NA,NA,1,175990,NA,"Rua General Artur Carvalho, 9 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-turu-sao-luis-ma-40m2-id-2656474286/",-2.517466462282,-44.225765921994
1,2,96,0,4,NA,1,1,2649157754,NA,1,1,1,1,3,1,0,0,2,8e+05,0,"Avenida dos Holandeses, 1 - Olho d'Água, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-olho-d-agua-sao-luis-ma-96m2-id-2649157754/",-2.481299993806,-44.214960021998
0,NA,54,0,2,NA,0,0,2649224428,NA,1,0,0,1,2,1,0,0,1,160000,0,"Avenida Edson Brandão, 0 - Cutim Anil, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-cutim-anil-sao-luis-ma-54m2-id-2649224428/",-2.553806793171,-44.247897399603
0,NA,54,0,1,NA,0,0,2626452098,NA,1,0,1,0,2,1,0,0,NA,160000,0,"Rua Nova Iorque, 5 - Chacara Brasil, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-chacara-brasil-sao-luis-ma-54m2-id-2626452098/",-2.501949985745,-44.217520022866
1,6,76,0,3,500,1,0,2639806000,600,1,1,1,1,3,1,0,0,1,450000,1,"Alameda E, 1 - Quitandinha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-quitandinha-sao-luis-ma-76m2-id-2639806000/",-2.50837,-44.2615
0,1,45,0,1,NA,0,0,2646415067,NA,0,1,1,0,2,0,0,0,1,110000,1,"Rua Valencia, 10 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-turu-sao-luis-ma-45m2-id-2646415067/",-2.508690555327,-44.222727686031
1,8,57,0,2,1,1,1,2655107661,1,1,1,1,1,2,1,1,1,1,320000,1,"Avenida dos Franceses, 78 - Barreto, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barreto-sao-luis-ma-57m2-id-2655107661/",-2.543197753963,-44.260319789954
0,NA,87,0,2,NA,1,1,2651169189,NA,1,1,1,0,3,0,0,0,2,420000,0,"Avenida Cinco - Calhau, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-calhau-sao-luis-ma-87m2-id-2651169189/",-2.489792896734,-44.246979777411
0,NA,86,1,1,240,0,0,2623349317,NA,0,0,0,0,2,0,0,0,2,230000,0,"Rua Netuno, 30 - Recanto Vinhais, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-recanto-vinhais-sao-luis-ma-86m2-id-2623349317/",-2.523800014762,-44.263529965777
1,NA,56,0,2,1,0,1,2655939968,1,1,0,1,1,2,1,0,0,1,285560,0,"Conjunto Primavera, 1 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-turu-sao-luis-ma-56m2-id-2655939968/",-2.520070768468,-44.236367004059
1,NA,64,0,2,NA,1,0,2570181014,NA,0,0,1,0,2,1,0,0,2,450000,0,"Avenida Martins Pena, 0 - Maranhão Novo, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-academia-maranhao-novo-sao-luis-ma-64m2-id-2570181014/",-2.532133610982,-44.255656926994
NA,NA,56,NA,1,342,NA,NA,2649591294,NA,NA,NA,NA,NA,2,NA,NA,NA,1,265000,NA,"Rua Dez, 1 - Planalto Vinhais II, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-planalto-vinhais-ii-sao-luis-ma-56m2-id-2649591294/",-2.518500011656,-44.254469966634
1,6,57,0,2,405,1,1,2647288148,800,1,1,1,1,2,1,0,0,1,385000,0,"Avenida Professor Carlos Cunha, 1 - Jaracaty, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jaracaty-sao-luis-ma-57m2-id-2647288148/",-2.513559102248,-44.289955683336
0,5,90,0,2,790,1,1,2638124252,NA,0,0,1,0,2,1,0,0,1,280000,0,"Rua dos Abacateiros, 1 - Jardim Sao Francisco, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-sao-francisco-sao-luis-ma-90m2-id-2638124252/",-2.509930018573,-44.301120035491
NA,NA,50,NA,1,8,NA,NA,2657348471,8,NA,NA,NA,NA,2,NA,NA,NA,1,130000,NA,"Avenida São Luís Rei de França, 19 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-turu-sao-luis-ma-50m2-id-2657348471/",-2.525800020679,-44.226129997627
NA,NA,161,NA,4,NA,NA,NA,88053531,NA,NA,NA,NA,NA,4,NA,NA,NA,2,1650000,NA,"Ponta D'areia, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-ponta-d-areia-sao-luis-ma-161m2-id-88053531/",-2.49249,-44.30426
0,NA,200,0,3,NA,0,0,2583513499,NA,1,0,1,0,3,0,0,0,4,450000,1,"Conjunto Primavera, 1 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-turu-sao-luis-ma-200m2-id-2583513499/",-2.520070768468,-44.236367004059
NA,NA,72,NA,3,NA,NA,NA,2543510997,NA,NA,NA,NA,NA,3,NA,NA,NA,1,390000,NA,"Alameda E, 999999 - Quitandinha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-quitandinha-sao-luis-ma-72m2-id-2543510997/",-2.50837,-44.2615
0,NA,45,0,1,240,0,1,2654411063,1,1,1,0,0,2,1,0,0,1,144770,0,"Estrada de Ribamar, 100 - Forquilha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-forquilha-sao-luis-ma-45m2-id-2654411063/",-2.553720014428,-44.229770006719
NA,5,60,NA,1,NA,NA,NA,2573292504,NA,NA,NA,NA,NA,2,NA,NA,NA,1,250000,NA,"Avenida João Pessoa, 0 - Filipinho, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-filipinho-sao-luis-ma-60m2-id-2573292504/",-2.550785007212,-44.264774971765
1,2,65,0,2,NA,1,1,2627944004,NA,1,1,0,1,2,1,1,1,1,490000,1,"Avenida Deputado Luís Eduardo Magalhães, 1 - Calhau, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-calhau-sao-luis-ma-65m2-id-2627944004/",-2.50439748086,-44.262627247616
0,NA,79,0,2,1,1,0,2655148569,1,1,1,0,1,2,1,0,0,1,310000,0,"Rua Deputado Raimundo Leal, 1 - Jardim Eldorado, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-eldorado-sao-luis-ma-79m2-id-2655148569/",-2.503998368088,-44.235469105664
0,NA,55,0,1,NA,0,0,2639780677,NA,1,0,0,0,2,1,0,0,1,185000,0,"Rua Deputado Raimundo Leal, 120 - Jardim Eldorado, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-eldorado-sao-luis-ma-55m2-id-2639780677/",-2.503998368088,-44.235469105664
1,NA,67,0,2,NA,1,1,2657354169,NA,1,1,1,1,3,1,0,0,2,369000,1,"Avenida São Luís Rei de França, 1 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-turu-sao-luis-ma-67m2-id-2657354169/",-2.498899952022,-44.228813783171
0,1,51,1,1,220,0,0,2655862808,NA,1,1,0,1,2,1,0,0,1,220000,0,"Rua General Artur Carvalho, 0001 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-turu-sao-luis-ma-51m2-id-2655862808/",-2.507739994911,-44.214029966022
0,NA,163,0,4,NA,1,0,2657032363,NA,1,1,0,1,4,1,0,0,3,1800000,0,"Rua das Gardênias, 1 - Ponta D'areia, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-ponta-d-areia-sao-luis-ma-163m2-id-2657032363/",-2.501960126208,-44.312842021386
0,3,57,0,2,1,0,1,2646354867,1,1,1,1,1,2,1,0,0,1,120000,0,"Rua Doutor Manoel Godinho, 2 - IPEM Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-ipem-turu-sao-luis-ma-57m2-id-2646354867/",-2.52217,-44.21654
0,NA,96,0,2,650,1,0,2587184833,NA,0,0,0,1,3,1,0,0,2,320000,0,"Rua da Matemática, 500 - Cohafuma, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-cohafuma-sao-luis-ma-96m2-id-2587184833/",-2.511155682587,-44.265131203855
1,NA,78,1,2,NA,1,1,2559336001,NA,1,1,1,1,3,1,0,0,2,492000,0,"Rua Deputado Raimundo Leal - Jardim Eldorado, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-eldorado-sao-luis-ma-78m2-id-2559336001/",-2.503998368088,-44.235469105664
NA,1,62,NA,2,NA,NA,NA,2622630135,NA,NA,NA,NA,NA,2,NA,NA,NA,1,275000,NA,"Rua Plutão, 73 - Recanto dos Vinhais, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-recanto-dos-vinhais-sao-luis-ma-62m2-id-2622630135/",-2.521344123937,-44.261775937394
1,NA,57,0,2,NA,1,1,2638386719,NA,1,1,1,1,2,1,0,0,1,3e+05,1,"Avenida Neiva Moreira, 1 - Calhau, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-calhau-sao-luis-ma-57m2-id-2638386719/",-2.490314345429,-44.244455607034
NA,3,64,NA,2,230,NA,NA,2639658369,630,NA,NA,NA,NA,2,NA,NA,NA,1,2e+05,NA,"Condomínio Novo Tempo II, 1 - Cohafuma, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cohafuma-sao-luis-ma-64m2-id-2639658369/",-2.50274,-44.27023
0,3,50,0,1,NA,0,0,2656467137,NA,0,0,1,0,2,1,0,0,NA,98000,0,"Rua Joaquim Vieira, 303 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-turu-sao-luis-ma-50m2-id-2656467137/",-2.521147241605,-44.224089909429
0,NA,95,0,3,NA,1,0,2637312360,NA,1,1,1,0,3,1,0,0,2,610000,0,"Rua dos Juritis, 15 - Renascença II, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-renascenca-ii-sao-luis-ma-95m2-id-2637312360/",-2.497250001178,-44.291710008072
1,3,67,0,2,350,1,0,2643119749,NA,1,1,0,1,2,1,0,0,1,320000,0,"Avenida Mário Andreazza, 6 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-turu-sao-luis-ma-67m2-id-2643119749/",-2.501569992165,-44.236300012207
1,3,57,0,2,277,0,0,2651414780,300,1,1,0,1,2,1,0,0,1,210000,0,"Rua do Arame, 1 - Vinhais, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vinhais-sao-luis-ma-57m2-id-2651414780/",-2.510579993255,-44.250210031984
NA,NA,99,NA,2,1,NA,NA,2655910918,1,NA,NA,NA,NA,2,NA,NA,NA,2,329907,NA,"Rua Santa Rosa, 1 - Santa Rosa, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santa-rosa-sao-luis-ma-99m2-id-2655910918/",-2.507440006597,-44.214080005984
0,NA,77,1,1,NA,0,0,2657040355,NA,0,0,0,0,2,0,0,0,2,230000,0,"Avenida Castelo Branco, 1 - São Francisco, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-francisco-sao-luis-ma-77m2-id-2657040355/",-2.516082062891,-44.304307812862
1,NA,76,0,2,NA,1,1,2619796228,NA,1,1,1,1,3,1,0,0,2,520000,1,"Conjunto Primavera, 552 - Jardim Eldorado, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-eldorado-sao-luis-ma-76m2-id-2619796228/",-2.50522,-44.23157
0,14,163,1,4,1500,1,0,2657175954,NA,1,1,0,1,4,1,0,0,3,1350000,0,"Avenida dos Holandeses, 1085 - Ponta D'areia, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-ponta-d-areia-sao-luis-ma-163m2-id-2657175954/",-2.493540003194,-44.284850007056
NA,5,60,NA,1,NA,NA,NA,2613303396,NA,NA,NA,NA,NA,2,NA,NA,NA,1,318000,NA,"Quitandinha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-quitandinha-sao-luis-ma-60m2-id-2613303396/",-2.50837,-44.2615
