academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,10.0,84.0,0,2.0,750.0,1.0,"Rua Manoel Leopoldino, 123 - Araés, Cuiabá - MT",0,2638955569,,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-araes-cuiaba-mt-84m2-id-2638955569/,1.0,400000.0,0
,,70.0,,2.0,480.0,,"Jardim Califórnia, Cuiabá - MT",,2639508221,1600.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-california-cuiaba-mt-70m2-id-2639508221/,1.0,455000.0,
1.0,,102.0,0,4.0,700.0,1.0,"Rua Doutor Euricles Mota, 565 - Jardim Guanabara, Cuiabá - MT",1.0,2618588656,1600.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-guanabara-cuiaba-mt-102m2-id-2618588656/,2.0,850000.0,0
1.0,,166.0,1.0,5.0,1300.0,0,"Jardim Eldorado, Cuiabá - MT",1.0,2644354670,,1.0,1.0,0,1.0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-eldorado-cuiaba-mt-166m2-id-2644354670/,3.0,1200000.0,0
1.0,13.0,118.0,0,4.0,950.0,1.0,"Avenida F, 155 - Jardim Aclimação, Cuiabá - MT",1.0,2642763161,,1.0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-aclimacao-cuiaba-mt-118m2-id-2642763161/,3.0,900000.0,1.0
1.0,,147.0,0,4.0,1086.0,1.0,"Jardim Mariana, Cuiabá - MT",0,2561787134,,1.0,0,0,1.0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-jardim-mariana-cuiaba-mt-147m2-id-2561787134/,3.0,950000.0,0
0,,90.0,0,2.0,750.0,1.0,"Senhor dos Passos, Cuiabá - MT",1.0,2644372084,,1.0,0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-senhor-dos-passos-cuiaba-mt-90m2-id-2644372084/,1.0,360000.0,0
1.0,,110.0,1.0,2.0,1000.0,1.0,"Rua Adel Maluf, 275 - Jardim Mariana, Cuiabá - MT",1.0,2652575583,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-mariana-cuiaba-mt-110m2-id-2652575583/,2.0,690000.0,0
0,,48.0,1.0,1.0,332.0,0,"Rua Trinta e Dois - Santa Cruz, Cuiabá - MT",0,2578206367,380.0,1.0,1.0,0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-cruz-cuiaba-mt-48m2-id-2578206367/,1.0,160000.0,0
0,,175.0,1.0,2.0,1300.0,1.0,"Rua Corsino do Amarante - Duque de Caxias II, Cuiabá - MT",0,2578205271,2583.0,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-duque-de-caxias-ii-cuiaba-mt-175m2-id-2578205271/,2.0,620000.0,0
1.0,14.0,82.0,0,2.0,460.0,1.0,"Avenida Manoel José de Arruda, 3005 - Grande Terceiro, Cuiabá - MT",1.0,2611087180,1900.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-grande-terceiro-cuiaba-mt-82m2-id-2611087180/,2.0,740000.0,1.0
0,,81.0,1.0,3.0,550.0,1.0,"Jardim Aclimação, Cuiabá - MT",0,2640081769,1800.0,1.0,0,0,1.0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-aclimacao-cuiaba-mt-81m2-id-2640081769/,2.0,649000.0,1.0
,,48.0,,1.0,,,"Jardim Presidente, Cuiabá - MT",,2639575609,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-presidente-cuiaba-mt-48m2-id-2639575609/,,219075.0,
1.0,,156.0,0,5.0,,1.0,"Avenida General Ramiro de Noronha, 100 - Jardim Cuiabá, Cuiabá - MT",1.0,2650447330,,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-cuiaba-cuiaba-mt-156m2-id-2650447330/,2.0,1450000.0,1.0
1.0,,215.0,0,5.0,,0,"Rua Itália, 540 - Santa Rosa, Cuiabá - MT",1.0,2579128533,,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-rosa-cuiaba-mt-215m2-id-2579128533/,3.0,1300000.0,1.0
,,70.0,,2.0,650.0,,"Recanto dos Pássaros, Cuiabá - MT",,2644351731,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-recanto-dos-passaros-cuiaba-mt-70m2-id-2644351731/,2.0,330000.0,
1.0,,134.0,0,2.0,980.0,1.0,"Avenida Tancredo de Almeida Neves, 688 - Jardim Petrópolis, Cuiabá - MT",0,2606707975,2500.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-petropolis-cuiaba-mt-134m2-id-2606707975/,3.0,1100000.0,0
1.0,,123.0,1.0,5.0,,1.0,"Avenida José Rodrigues do Prado, 488 - Santa Rosa, Cuiabá - MT",1.0,2554634799,,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-cuiaba-mt-123m2-id-2554634799/,2.0,774900.0,1.0
0,3.0,90.0,1.0,2.0,500.0,0,"Avenida Fernando Correa da Costa, 542 - Poção, Cuiabá - MT",0,2645826948,600.0,0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pocao-cuiaba-mt-90m2-id-2645826948/,1.0,300000.0,0
,,40.0,,1.0,360.0,,"Coophema, Cuiabá - MT",,2649273373,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-coophema-cuiaba-mt-40m2-id-2649273373/,2.0,255000.0,
1.0,,134.0,1.0,3.0,700.0,1.0,"Avenida Senegal, 38 - Jardim Aclimação, Cuiabá - MT",1.0,2653008354,2000.0,1.0,1.0,0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-aclimacao-cuiaba-mt-134m2-id-2653008354/,1.0,1100000.0,1.0
0,4.0,79.0,0,1.0,500.0,1.0,"Rua Tiradentes, 419 - Pico do Amor, Cuiabá - MT",0,2556695340,780.0,1.0,0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pico-do-amor-cuiaba-mt-79m2-id-2556695340/,1.0,260000.0,0
1.0,3.0,47.0,0,1.0,1.0,1.0,"Rua João-de-barro, 661 - Jardim Imperial, Cuiabá - MT",1.0,2607790199,1.0,1.0,0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-imperial-cuiaba-mt-47m2-id-2607790199/,1.0,208000.0,0
1.0,,98.0,0,2.0,,1.0,"Rodovia Arquiteto Hélder Cândia, 65 - Ribeirão do Lipa, Cuiabá - MT",1.0,2549085284,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ribeirao-do-lipa-cuiaba-mt-98m2-id-2549085284/,2.0,769000.0,1.0
0,,110.0,1.0,3.0,,0,"Rua Alfenas, 400 - Jardim Mariana, Cuiabá - MT",0,2656917854,,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-mariana-cuiaba-mt-110m2-id-2656917854/,2.0,1000000.0,0
1.0,,72.0,0,2.0,480.0,1.0,"Avenida A, 333 - Terra Nova, Cuiabá - MT",1.0,2642823272,2200.0,1.0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-terra-nova-cuiaba-mt-72m2-id-2642823272/,2.0,629000.0,0
1.0,,117.0,0,2.0,,0,"Avenida Bosque da Saúde, 1 - Bosque da Saúde, Cuiabá - MT",1.0,2534701415,,1.0,1.0,0,0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-bosque-da-saude-cuiaba-mt-117m2-id-2534701415/,2.0,750000.0,0
1.0,,115.0,0,2.0,750.0,1.0,"Avenida Vereador Juliano da Costa Marques, 877 - Morada do Sol, Cuiabá - MT",1.0,2627067154,2400.0,1.0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-morada-do-sol-cuiaba-mt-115m2-id-2627067154/,3.0,865000.0,1.0
0,13.0,96.0,0,1.0,688.0,0,"Rua Nossa Senhora da Guia, 504 - Santa Marta, Cuiabá - MT",0,2651249253,,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-marta-cuiaba-mt-96m2-id-2651249253/,,450000.0,0
,,135.0,,3.0,990.0,,"Rua Estevão de Mendonça, 1265 - Quilombo, Cuiabá - MT",,2588417906,2730.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-quilombo-cuiaba-mt-135m2-id-2588417906/,2.0,680000.0,
1.0,,87.0,1.0,2.0,500.0,0,"Centro Sul, Cuiabá - MT",1.0,2644348137,,1.0,1.0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-sul-cuiaba-mt-87m2-id-2644348137/,2.0,750000.0,0
1.0,,190.0,1.0,4.0,990.0,0,"Rua Estevão de Mendonça, 1295 - Quilombo, Cuiabá - MT",1.0,2575267964,,1.0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-quilombo-cuiaba-mt-190m2-id-2575267964/,4.0,1900000.0,1.0
