academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,,71.0,0,2.0,,1.0,"Rodovia BR-316, 1117 - Centro, Ananindeua - PA",0,2648213369,,1.0,0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ananindeua-pa-71m2-id-2648213369/,1.0,260000.0,0
0,5.0,44.0,0,1.0,200.0,1.0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",1.0,2653020892,100.0,1.0,1.0,1.0,1.0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-44m2-id-2653020892/,1.0,150000.0,0
0,,55.0,0,2.0,1.0,0,"Travessa Acatauassú, 4901 - Icuí-Guajará, Ananindeua - PA",0,2652126253,1.0,0,0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-icui-guajara-ananindeua-pa-55m2-id-2652126253/,1.0,140000.0,0
0,2.0,45.0,0,1.0,1.0,0,"Passagem Bom Jardim, 13 - Aguas Lindas, Ananindeua - PA",0,2641842579,1.0,1.0,0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aguas-lindas-ananindeua-pa-45m2-id-2641842579/,1.0,184900.0,0
0,,88.0,0,2.0,,0,"Rodovia do Mário Covas, 1228 - Coqueiro, Ananindeua - PA",0,2639981045,,0,0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-acesso-24-horas-coqueiro-ananindeua-pa-88m2-id-2639981045/,1.0,320000.0,0
1.0,,42.0,0,1.0,347.0,1.0,"Rodovia do Mário Covas, 200 - Coqueiro, Ananindeua - PA",0,2618619787,,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiro-ananindeua-pa-42m2-id-2618619787/,1.0,200000.0,0
0,1.0,42.0,0,1.0,,1.0,"Quadra Quatro, 0 - Coqueiro, Ananindeua - PA",0,2571563752,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiro-ananindeua-pa-42m2-id-2571563752/,,163000.0,0
1.0,7.0,43.0,0,2.0,300.0,1.0,"Avenida Ananin, 1111 - Centro, Ananindeua - PA",0,2583672365,419.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ananindeua-pa-43m2-id-2583672365/,1.0,169900.0,0
0,,42.0,0,2.0,200.0,0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2653338871,400.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2653338871/,1.0,150000.0,0
0,,42.0,0,2.0,200.0,0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2653338871,400.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2653338871/,1.0,150000.0,0
,1.0,45.0,,1.0,,,"Alameda Alana, 6 - Centro, Ananindeua - PA",,2619663300,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-centro-ananindeua-pa-45m2-id-2619663300/,1.0,160000.0,
0,,160.0,0,3.0,650.0,1.0,"Rodovia do Mário Covas, 85 - Coqueiro, Ananindeua - PA",0,2602033680,,1.0,0,0,1.0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-coqueiro-ananindeua-pa-160m2-id-2602033680/,2.0,470000.0,1.0
0,,52.0,0,1.0,224.0,0,"Rua da Cohaspa, 274 - Aguas Lindas, Ananindeua - PA",0,2630501297,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aguas-lindas-ananindeua-pa-52m2-id-2630501297/,1.0,70000.0,0
1.0,4.0,59.0,0,1.0,,0,"Avenida Governador Hélio da Mota Gueiros, 1551 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2645207857,,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-59m2-id-2645207857/,1.0,245000.0,0
0,1.0,47.0,0,1.0,280.0,0,"Rodovia do Mário Covas, 115 - Coqueiro, Ananindeua - PA",1.0,2635422559,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiro-ananindeua-pa-47m2-id-2635422559/,1.0,149990.0,0
1.0,,42.0,0,1.0,,0,"Alameda Souza, 67 - Centro, Ananindeua - PA",0,2639411757,,0,0,1.0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-ananindeua-pa-42m2-id-2639411757/,1.0,160000.0,0
0,2.0,60.0,0,2.0,220.0,0,"Rodovia do Mário Covas, 638 - Coqueiro, Ananindeua - PA",0,2622029237,120.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-coqueiro-ananindeua-pa-60m2-id-2622029237/,1.0,190000.0,0
0,,43.0,0,1.0,150.0,0,"Passagem Coimbra, 12 - Coqueiro, Ananindeua - PA",1.0,2612177801,,0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-coqueiro-ananindeua-pa-43m2-id-2612177801/,1.0,135000.0,0
0,,51.0,0,1.0,260.0,0,"Rua Quinta do Maguari, 135 - Centro, Ananindeua - PA",0,2628404078,,1.0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ananindeua-pa-51m2-id-2628404078/,1.0,210000.0,0
0,,49.0,0,2.0,288.0,0,"Passagem São Jorge, 49 - Coqueiro, Ananindeua - PA",0,2648515400,,1.0,1.0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiro-ananindeua-pa-49m2-id-2648515400/,1.0,250000.0,0
,,90.0,,2.0,,,"Travessa Sn-02, 1 - Cidade Nova, Ananindeua - PA",,2627846466,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-cidade-nova-ananindeua-pa-90m2-id-2627846466/,1.0,150000.0,
,1.0,70.0,,2.0,,,"Avenida Arterial - 5A, 333 - Cidade Nova, Ananindeua - PA",,2605834808,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-cidade-nova-ananindeua-pa-70m2-id-2605834808/,1.0,330000.0,
1.0,4.0,65.0,1.0,1.0,300.0,0,"Avenida Governador Hélio da Mota Gueiros, 1551 - Quarenta Horas Coqueiro, Ananindeua - PA",1.0,2622425031,100.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-65m2-id-2622425031/,1.0,200000.0,0
0,,42.0,0,1.0,,0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2645589544,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2645589544/,1.0,159000.0,0
0,,53.0,0,2.0,,0,"Avenida Governador Hélio da Mota Gueiros, 220 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2617895325,,1.0,0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-53m2-id-2617895325/,1.0,280000.0,0
0,2.0,49.0,0,1.0,230000.0,0,"Avenida Governador Hélio da Mota Gueiros, 01 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2645051720,420.0,1.0,1.0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-49m2-id-2645051720/,1.0,190000.0,0
0,,42.0,0,1.0,200.0,0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2653340065,400.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2653340065/,1.0,150000.0,0
0,2.0,49.0,1.0,1.0,287.0,1.0,"Avenida Governador Hélio da Mota Gueiros, 220 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2581200872,300.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-49m2-id-2581200872/,1.0,280000.0,0
1.0,1.0,40.0,0,1.0,1.0,0,"Avenida Governador Hélio da Mota Gueiros, 346 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2641795244,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-40m2-id-2641795244/,,212000.0,0
1.0,7.0,75.0,0,2.0,1.0,1.0,"Rodovia BR-316, 5 - Centro, Ananindeua - PA",0,2600717588,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-ananindeua-pa-75m2-id-2600717588/,2.0,360000.0,1.0
0,2.0,48.0,0,1.0,,0,"Passagem Bom Jardim, 251 - Aguas Lindas, Ananindeua - PA",1.0,2653742940,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aguas-lindas-ananindeua-pa-48m2-id-2653742940/,1.0,184000.0,0
,,40.0,,2.0,,,"Avenida Governador Hélio da Mota Gueiros, 0 - Quarenta Horas Coqueiro, Ananindeua - PA",,2599437753,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-quarenta-horas-coqueiro-ananindeua-pa-40m2-id-2599437753/,1.0,230000.0,
