academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,endereco,tipo,url,foto_imovel
,3.0,150.0,,3.0,,,,2596079715.0,,,,,,3.0,,,,2.0,5500.0,,"Avenida Cabo Branco, 100 - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-cabo-branco-joao-pessoa-pb-150m2-id-2596079715/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f89e62717886a9cbc7b70de0343b64a7/apartamento-com-3-quartos-para-alugar-150m-no-cabo-branco-joao-pessoa.jpg
1.0,,55.0,0.0,2.0,,1.0,1.0,2668977113.0,,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3600.0,1.0,"Rua João Cabral de Lucena, 3 - Bessa, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-bessa-joao-pessoa-pb-55m2-id-2668977113/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8d41ed8b5a23f3b7b054d27deb5bae96/apartamento-com-2-quartos-para-alugar-55m-no-bessa-joao-pessoa.jpg
1.0,2.0,58.0,0.0,2.0,,1.0,0.0,2671240742.0,,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3600.0,0.0,"Avenida Cabo Branco, 2750 - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-cabo-branco-joao-pessoa-pb-58m2-id-2671240742/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/662d84ef9e702c6e85fb411fd80413a2/apartamento-com-2-quartos-para-alugar-58m-no-cabo-branco-joao-pessoa.jpg
0.0,,54.0,0.0,2.0,,1.0,0.0,2663456623.0,,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2700.0,0.0,"Avenida Guarabira, 142 - Manaíra, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-manaira-joao-pessoa-pb-54m2-id-2663456623/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/144c0b93132f7b7e9fc80fb9b135fd38/apartamento-com-2-quartos-para-alugar-54m-no-manaira-joao-pessoa.jpg
0.0,3.0,60.0,0.0,2.0,,1.0,1.0,2671235308.0,,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,5000.0,0.0,"Rua Juvenal Mário da Silva - Manaíra, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-manaira-joao-pessoa-pb-60m2-id-2671235308/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e6cdd965fd12f2598fd0ea1466463056/apartamento-com-2-quartos-para-alugar-60m-no-manaira-joao-pessoa.jpg
1.0,4.0,74.0,0.0,3.0,,1.0,1.0,2658870462.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,6000.0,0.0,"Avenida Cabo Branco, 2020 - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cabo-branco-joao-pessoa-pb-74m2-id-2658870462/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a952e8be7841750f357d37bcf70d6a0b/apartamento-com-2-quartos-para-alugar-74m-no-cabo-branco-joao-pessoa.jpg
0.0,10.0,450.0,1.0,5.0,1.0,1.0,1.0,2592097122.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,9000.0,1.0,"Avenida Infante Dom Henrique, 45 - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-5-quartos-com-piscina-tambau-joao-pessoa-pb-450m2-id-2592097122/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c242eda54357ef16db802a5d49101c26/apartamento-com-5-quartos-para-alugar-450m-no-tambau-joao-pessoa.jpg
,,82.0,,3.0,,,,2667739794.0,,,,,,2.0,,,,2.0,4000.0,,"Rua Artur Monteiro Paiva, 0 - Bessa, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-bessa-joao-pessoa-pb-82m2-id-2667739794/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/5a53697ef3cf6cd269568a98de636699/apartamento-com-2-quartos-para-alugar-82m-no-bessa-joao-pessoa.jpg
0.0,,44.0,0.0,1.0,967.0,1.0,0.0,2665427995.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2300.0,0.0,"Avenida Cabo Branco - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-cabo-branco-joao-pessoa-pb-44m2-id-2665427995/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/252edb7542ffa179ee320dbfdc8ee041/apartamento-com-1-quarto-para-venda-ou-aluguel-44m-no-cabo-branco-joao-pessoa.jpg
1.0,1.0,65.0,0.0,1.0,560.0,1.0,1.0,2629405803.0,,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,5000.0,0.0,"Avenida Governador Argemiro de Figueiredo, 461 - Jardim Oceania, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jardim-oceania-joao-pessoa-pb-65m2-id-2629405803/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/444304dbe9d5c5c07f70f95a3d698bac/apartamento-com-2-quartos-para-venda-ou-aluguel-65m-no-jardim-oceania-joao-pessoa.jpg
1.0,,45.0,1.0,1.0,,1.0,0.0,2666115938.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2250.0,0.0,"Manaíra, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-manaira-joao-pessoa-pb-45m2-id-2666115938/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fd98bd19278be162ca5d3507cb809754/apartamento-com-1-quarto-para-alugar-45m-no-manaira-joao-pessoa.jpg
,6.0,98.0,,3.0,741.0,,,2643042977.0,,,,,,2.0,,,,1.0,2500.0,,"Rua Helena Meira Lima, 345 - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-tambau-joao-pessoa-pb-98m2-id-2643042977/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2e29b44ba9218f4795501d487d65a7ce/apartamento-com-2-quartos-para-alugar-98m-no-tambau-joao-pessoa.jpg
0.0,,50.0,0.0,2.0,,1.0,0.0,2658221970.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4500.0,0.0,"Jardim Oceania, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-oceania-joao-pessoa-pb-50m2-id-2658221970/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e9d6e5c13e0ade3dff49e6942473d120/apartamento-com-2-quartos-para-alugar-50m-no-jardim-oceania-joao-pessoa.jpg
,,20.0,,1.0,,,,2655566054.0,,,,,,1.0,,,,,137.0,,"Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-cabo-branco-joao-pessoa-pb-20m2-id-2655566054/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6d60404a0c3bfe346db8eed5dcccb34c/apartamento-com-1-quarto-para-alugar-20m-no-cabo-branco-joao-pessoa.jpg
1.0,,78.0,1.0,1.0,710.0,1.0,1.0,2663918195.0,,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2900.0,0.0,"Rua Adão Viana da Rosa - Aeroclube, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-aeroclube-joao-pessoa-pb-78m2-id-2663918195/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2b17c7d3b8863dd755e0d53f3bfc8666/apartamento-com-3-quartos-para-alugar-78m-no-aeroclube-joao-pessoa.jpg
,,60.0,,2.0,,,,2627423184.0,,,,,,2.0,,,,2.0,3000.0,,"Bessa, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-bessa-joao-pessoa-pb-60m2-id-2627423184/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/06123a32c341fa2770fc11864ceec2a1/apartamento-com-2-quartos-para-venda-ou-aluguel-60m-no-bessa-joao-pessoa.jpg
1.0,,23.0,0.0,1.0,,1.0,1.0,2658150660.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,264.0,0.0,"Jardim Oceania, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-jardim-oceania-joao-pessoa-pb-23m2-id-2658150660/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/9a778be07602cd8ecc938bdaaaa8b0ab/apartamento-com-1-quarto-para-alugar-23m-no-jardim-oceania-joao-pessoa.jpg
,,300.0,,7.0,,,,2655315258.0,,,,,,7.0,,,,2.0,4500.0,,"Rua Walfredo Macedo Brandão, 1109 - Bancários, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-7-quartos-bancarios-joao-pessoa-pb-300m2-id-2655315258/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bad542495518e8968afee9f631f486f7/apartamento-com-7-quartos-para-alugar-300m-no-bancarios-joao-pessoa.jpg
1.0,31.0,270.0,1.0,5.0,2012.0,1.0,0.0,2636682572.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,8600.0,1.0,"Rua Maria das Dores Souza, 289 - Altiplano Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-altiplano-cabo-branco-joao-pessoa-pb-270m2-id-2636682572/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0400d0a709a4531dd27620fbb5a33f1a/apartamento-com-3-quartos-para-alugar-270m-no-altiplano-cabo-branco-joao-pessoa.jpg
0.0,,34.0,0.0,1.0,,1.0,0.0,2624517132.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3200.0,0.0,"Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-cabo-branco-joao-pessoa-pb-34m2-id-2624517132/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/19bdecfd2cc5075515b0bf4de8b1467a/apartamento-com-1-quarto-para-alugar-34m-no-cabo-branco-joao-pessoa.jpg
,,80.0,,2.0,462.0,,,2632791127.0,,,,,,2.0,,,,1.0,3220.0,,"Praça Jardim Luna - Brisamar, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-brisamar-joao-pessoa-pb-80m2-id-2632791127/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d3a8c08ef017aaf079ded1f9bd425a14/apartamento-com-2-quartos-para-alugar-80m-no-brisamar-joao-pessoa.jpg
1.0,,25.0,0.0,1.0,,1.0,0.0,2655561117.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,240.0,0.0,"Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-academia-tambau-joao-pessoa-pb-25m2-id-2655561117/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a5fec33c13055cb6d67a1777c8c15b01/apartamento-com-1-quarto-para-alugar-25m-no-tambau-joao-pessoa.jpg
,,58.0,,2.0,500.0,,,2648728675.0,,,,,,2.0,,,,2.0,2900.0,,"Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-cabo-branco-joao-pessoa-pb-58m2-id-2648728675/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3a849fe4da5196497694fb3fdd14e480/apartamento-com-2-quartos-para-alugar-58m-no-cabo-branco-joao-pessoa.jpg
,11.0,94.0,,3.0,,,,2669627931.0,,,,,,3.0,,,,2.0,5000.0,,"Rua José Augusto Trindade - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-tambau-joao-pessoa-pb-94m2-id-2669627931/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/52e8997d9c24625c362fc5738f02f3ec/apartamento-com-3-quartos-para-alugar-94m-no-tambau-joao-pessoa.jpg
,,46.0,,1.0,,,,2658666162.0,,,,,,1.0,,,,1.0,3800.0,,"Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-cabo-branco-joao-pessoa-pb-46m2-id-2658666162/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8d45961e27b33e336b01c45d52436baf/apartamento-com-1-quarto-para-alugar-46m-no-cabo-branco-joao-pessoa.jpg
0.0,,35.0,0.0,2.0,400.0,1.0,0.0,2645837596.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1500.0,1.0,"Bessa, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-bessa-joao-pessoa-pb-35m2-id-2645837596/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7566301dc56c070fe185bb27a541169c/apartamento-com-1-quarto-para-alugar-35m-no-bessa-joao-pessoa.jpg
1.0,4.0,49.0,0.0,1.0,800.0,1.0,1.0,2628117255.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,,3000.0,0.0,"Rua Nossa Senhora dos Navegantes, 536 - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-tambau-joao-pessoa-pb-49m2-id-2628117255/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bf72267b5e9611fffefb00c391be1658/apartamento-com-2-quartos-para-venda-ou-aluguel-49m-no-tambau-joao-pessoa.jpg
0.0,,105.0,0.0,2.0,1300.0,1.0,0.0,2647147557.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,7000.0,0.0,"Avenida Antônio Lira - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-ar-condicionado-tambau-joao-pessoa-pb-105m2-id-2647147557/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/9b77c81d364dad1ff15032b781bd06e2/apartamento-com-2-quartos-para-alugar-105m-no-tambau-joao-pessoa.jpg
1.0,,57.0,1.0,1.0,447.0,1.0,1.0,2651176277.0,,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2800.0,0.0,"Rua Silvino Lopes - Tambaú, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-tambau-joao-pessoa-pb-57m2-id-2651176277/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f03da1fe771014c895ec5e1145cc16cb/apartamento-com-2-quartos-para-alugar-57m-no-tambau-joao-pessoa.jpg
0.0,5.0,53.0,0.0,2.0,,1.0,1.0,2670940596.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4700.0,0.0,"Avenida Governador Argemiro de Figueiredo, 1539 - Jardim Oceania, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-oceania-joao-pessoa-pb-53m2-id-2670940596/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b4e8da4372b131f37a271be7c4ca2f94/apartamento-com-2-quartos-para-alugar-53m-no-jardim-oceania-joao-pessoa.jpg
0.0,,39.0,0.0,1.0,396.0,1.0,1.0,2645448163.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2000.0,0.0,"Avenida Cabo Branco - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-cabo-branco-joao-pessoa-pb-39m2-id-2645448163/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8a3d955577d4df8f887ac8105069e70a/apartamento-com-1-quarto-para-alugar-39m-no-cabo-branco-joao-pessoa.jpg
0.0,4.0,45.0,0.0,1.0,,1.0,1.0,2636844660.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3000.0,0.0,"Rua Maria Elizabeth, 405 - Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cabo-branco-joao-pessoa-pb-45m2-id-2636844660/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/58da67a7318e1e6e8de58b9bd76bb284/apartamento-com-2-quartos-para-alugar-45m-no-cabo-branco-joao-pessoa.jpg
,,60.0,,2.0,400.0,,,2651327722.0,,,,,,2.0,,,,1.0,2700.0,,"Manaíra, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-manaira-joao-pessoa-pb-60m2-id-2651327722/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3fe549a6acfecffc0aea0a730a4357bb/apartamento-com-2-quartos-para-venda-ou-aluguel-60m-no-manaira-joao-pessoa.jpg
