"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,3,96,0,3,500,0,0,2547055133,250,1,1,1,1,3,1,0,0,2,330000,0,"Rua Porto, 1191 - São Pedro, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-sao-pedro-teresina-pi-96m2-id-2547055133/",-5.117340262702,-42.808148167086
0,NA,59,0,2,NA,1,0,2557346752,NA,1,1,0,0,3,0,0,0,1,226000,0,"Planalto Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-planalto-uruguai-teresina-pi-59m2-id-2557346752/",-5.05217,-42.74119
1,NA,69,0,1,350,0,0,2606893894,NA,0,0,0,0,3,1,0,0,1,2e+05,0,"Rua José Torquato Viana, 1620 - Campestre, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-campestre-teresina-pi-69m2-id-2606893894/",-5.0675747297,-42.760101110388
1,NA,50,0,2,220,0,0,2622585717,NA,1,1,1,1,2,1,0,0,1,230000,0,"Rua Fiscal Benedito Machado - Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-uruguai-teresina-pi-50m2-id-2622585717/",-5.05964,-42.73318
0,NA,59,0,1,330,0,0,2594568813,NA,0,0,1,0,2,0,0,0,1,170000,0,"Rua São Lourenço, 1269 - Ilhotas, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-ilhotas-teresina-pi-59m2-id-2594568813/",-5.092737908591,-42.787062932253
0,4,59,0,1,187,1,1,2647281274,NA,1,1,0,0,3,1,0,0,1,190000,0,"Rua Adão Medeiros Soares, 475 - Novo Horizonte, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-novo-horizonte-teresina-pi-59m2-id-2647281274/",-5.111287707971,-42.748132824286
0,1,79,1,1,308,0,0,2639609727,NA,1,0,0,1,3,1,0,0,1,280000,0,"Rua Augusto Castro - Santa Isabel, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-isabel-teresina-pi-79m2-id-2639609727/",-5.075444304896,-42.76225286696
1,10,76,0,2,350,1,0,2635794404,1200,1,1,1,1,3,1,0,0,2,590000,1,"Rua Vereador Edmundo Genuíno Oliveira, 2865 - São Cristóvão, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-sao-cristovao-teresina-pi-76m2-id-2635794404/",-5.079784676617,-42.768932070817
NA,1,60,NA,2,250,NA,NA,2639280976,NA,NA,NA,NA,NA,3,NA,NA,NA,2,426000,NA,"Rua Professor Francisco César Araújo, 3833 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-morros-teresina-pi-60m2-id-2639280976/",-5.034209164872,-42.767819649956
0,NA,77,1,2,310,0,0,2572655780,NA,1,1,0,0,3,0,0,0,2,280000,0,"Avenida Abdias Neves - Cristo Rei, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cristo-rei-teresina-pi-77m2-id-2572655780/",-5.100478844406,-42.78969654746
1,7,72,1,2,320,1,0,2648628499,700,1,1,1,1,3,1,0,0,2,440000,0,"Rua Professora Amália Pinheiro, 111 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-morros-teresina-pi-72m2-id-2648628499/",-5.035935128809,-42.764406504081
0,NA,59,0,1,NA,0,0,2566540167,NA,1,1,0,0,3,0,0,0,1,189000,0,"Avenida Doutor Nicanor Barreto, 4209 - Vale Quem Tem, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vale-quem-tem-teresina-pi-59m2-id-2566540167/",-5.049419992161,-42.740749969492
0,2,74,0,2,175,0,1,2646282286,400,1,1,1,1,3,1,0,0,1,335000,0,"Rua Candido Portinari, 12 - Lourival Parente, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-lourival-parente-teresina-pi-74m2-id-2646282286/",-5.127670165781,-42.790559952604
NA,NA,59,NA,2,NA,NA,NA,2583878310,NA,NA,NA,NA,NA,2,NA,NA,NA,1,250000,NA,"Socopo, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-socopo-teresina-pi-59m2-id-2583878310/",-5.00467,-42.75413
0,NA,47,1,1,NA,0,0,2559483411,NA,1,0,1,0,2,1,0,0,1,155000,0,"Rua Desembargador Mota - Monte Castelo, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-monte-castelo-teresina-pi-47m2-id-2559483411/",-5.100220628913,-42.797187693247
0,7,103,0,3,NA,1,0,2646018500,NA,1,1,1,0,3,1,0,0,2,620000,1,"Avenida Senador Area Leão, 2065 - Jockey, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jockey-teresina-pi-103m2-id-2646018500/",-5.077059988434,-42.780650007902
NA,1,75,NA,1,1,NA,NA,2642393116,1,NA,NA,NA,NA,3,NA,NA,NA,1,299000,NA,"Avenida Presidente Kennedy, 2846 - Piçarreira, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-picarreira-teresina-pi-75m2-id-2642393116/",-5.059572851607,-42.768535266826
0,1,53,0,2,242,0,1,2640160488,342,1,1,1,0,2,1,0,0,2,195000,0,"Rua Belarmino Braga, 7752 - São Sebastião, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-sebastiao-teresina-pi-53m2-id-2640160488/",-5.103264390402,-42.733562177792
0,NA,56,0,1,185,0,1,2635402387,300,1,1,0,0,3,1,0,0,1,190000,0,"Rua Adão Medeiros Soares, 475 - Novo Horizonte, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-novo-horizonte-teresina-pi-56m2-id-2635402387/",-5.111287707971,-42.748132824286
0,NA,60,1,2,250,0,1,2646679889,1,1,1,1,0,3,1,0,0,2,426000,0,"Rua Professor Francisco César Araújo, 3833 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-morros-teresina-pi-60m2-id-2646679889/",-5.034209164872,-42.767819649956
0,NA,65,1,2,230,0,0,2635163633,570,1,1,1,0,3,1,0,0,2,420000,0,"Avenida Barão de Castelo Branco, 1960 - Cristo Rei, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cristo-rei-teresina-pi-65m2-id-2635163633/",-5.095523684896,-42.788949891829
0,5,65,0,2,230,1,0,2639278281,570,1,1,1,0,3,1,0,0,1,410000,1,"Rua Fotógrafo Costinha, 1960 - Cristo Rei, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cristo-rei-teresina-pi-65m2-id-2639278281/",-5.098734823388,-42.783422228316
1,NA,60,0,2,NA,1,1,2571331013,NA,1,1,1,1,2,1,0,0,1,330000,0,"Avenida dos Expedicionários, 241 - Recanto das Palmeiras, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-recanto-das-palmeiras-teresina-pi-60m2-id-2571331013/",-5.088293355873,-42.763352640386
1,11,75,0,2,360,1,1,2647284977,1,1,0,1,0,3,1,0,0,1,480000,0,"Rua Antilhon Ribeiro Soares, 5000 - Santa Isabel, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-santa-isabel-teresina-pi-75m2-id-2647284977/",-5.07585848397,-42.753098903672
1,NA,78,1,4,345,1,1,2646810538,1,1,1,1,0,3,1,0,0,2,5e+05,0,"Avenida Higino Cunha, 1166 - Cristo Rei, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cristo-rei-teresina-pi-78m2-id-2646810538/",-5.095480016943,-42.790880036909
0,NA,52,0,1,260,0,0,2624359656,NA,1,0,0,1,2,0,0,0,1,230000,0,"Primavera, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-primavera-teresina-pi-52m2-id-2624359656/",-5.06386,-42.8114
0,5,57,1,2,200,0,0,2567457707,619,1,1,1,0,2,1,0,0,1,355000,0,"Conjunto João Emílio Falcão, 1960 - Cristo Rei, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-cristo-rei-teresina-pi-57m2-id-2567457707/",-5.10037,-42.78702
