"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,243,NA,1,NA,NA,"Rua Boa Esperança - Centenario, Boa Vista - RR",NA,2645315299,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-sala-de-jantar-centenario-boa-vista-rr-243m2-id-2645315299/",2,350000,NA,2.796698033222,-60.713134212585
NA,NA,230,NA,5,NA,NA,"Rua Aroeira, 67 - Paraviana, Boa Vista - RR",NA,2559326341,NA,NA,NA,NA,NA,4,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-paraviana-boa-vista-rr-230m2-id-2559326341/",4,1500000,NA,2.864731308458,-60.672235832353
NA,NA,10,NA,1,NA,NA,"Rua das Margaridas - Jardim Primavera, Boa Vista - RR",NA,2645315021,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-jardim-primavera-boa-vista-rr-10m2-id-2645315021/",NA,2e+05,NA,2.83096609053,-60.738212504926
0,NA,90,1,2,NA,0,"Travessa Araraquara, 789 - São Vicente, Boa Vista - RR",0,2559326344,NA,0,0,0,0,2,0,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-sao-vicente-boa-vista-rr-90m2-id-2559326344/",5,1800000,0,2.80420713518,-60.68245921463
NA,2,600,NA,5,NA,NA,"Rua General Penha Brasil - Centro, Boa Vista - RR",NA,2642759899,NA,NA,NA,NA,NA,3,NA,NA,NA,"imoveis","https://www.zapimoveis.com.br/imovel/venda-3-quartos-centro-boa-vista-rr-600m2-id-2642759899/",4,3500000,NA,2.825592372967,-60.674977030812
0,NA,390,0,5,NA,0,"Caçari, Boa Vista - RR",1,2652631201,NA,1,0,0,0,4,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-cacari-boa-vista-rr-390m2-id-2652631201/",NA,2800000,0,2.85329,-60.65048
0,NA,108,0,3,NA,0,"Aeroporto, Boa Vista - RR",1,2652634280,NA,0,0,0,0,2,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-sala-de-jantar-aeroporto-boa-vista-rr-108m2-id-2652634280/",1,780000,0,2.84881,-60.70223
NA,NA,241,NA,2,NA,NA,"Rua Ajuricaba - Centro, Boa Vista - RR",NA,2645319922,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-boa-vista-rr-241m2-id-2645319922/",NA,7e+05,NA,2.817443836114,-60.676452019302
NA,NA,10,NA,NA,NA,NA,"Rua Victor Hugo - Nossa Senhora Aparecida, Boa Vista - RR",NA,2645318153,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-nossa-senhora-aparecida-boa-vista-rr-10m2-id-2645318153/",NA,2200000,NA,2.838875126842,-60.66031621868
0,NA,985,0,7,NA,0,"Rua Village - Residencial Village, Boa Vista - RR",1,2631638168,NA,1,0,0,0,6,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-6-quartos-com-piscina-residencial-village-boa-vista-rr-985m2-id-2631638168/",3,2.2e+07,0,2.82175,-60.67356
