academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,foto_imovel,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
1.0,,75.0,0,2.0,1.0,1.0,"Rua Othon Paraíso, 123 - Torreão, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/65b0d349958107d1c743e03f17c3d284/apartamento-com-3-quartos-a-venda-75m-no-torreao-recife.jpg,2566846666,1.0,1.0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-torreao-recife-pe-75m2-id-2566846666/,1.0,488500.0,1.0
0,,70.0,0,1.0,870.0,0,"Avenida Conselheiro Rosa e Silva, 1 - Graças, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e255ae03d48211552cb3464af32161cf/apartamento-com-2-quartos-a-venda-70m-no-gracas-recife.jpg,2665222898,280.0,1.0,0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-gracas-recife-pe-70m2-id-2665222898/,2.0,580000.0,0
1.0,,59.0,0,2.0,1.0,1.0,"Rua Amaro Albino Pimentel, 101 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e0ed75b28cfdf16cf2afefa0492336c5/apartamento-com-2-quartos-a-venda-59m-no-boa-viagem-recife.jpg,2633290734,1.0,1.0,0,1.0,0,2.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-boa-viagem-recife-pe-59m2-id-2633290734/,1.0,580000.0,0
1.0,,100.0,0,3.0,,1.0,"Avenida Pedro Paes Mendonça, 140 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/10a5211f250881ff32fe5dae58dc5dbc/apartamento-com-3-quartos-a-venda-100m-no-boa-viagem-recife.jpg,2657973954,,1.0,1.0,1.0,0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-boa-viagem-recife-pe-100m2-id-2657973954/,2.0,1250000.0,1.0
1.0,5.0,57.0,0,2.0,1.0,1.0,"Rua das Creoulas, 58 - Graças, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ccf26056efa5fe1226b9c80afe5418c3/apartamento-com-2-quartos-a-venda-57m-no-gracas-recife.jpg,2605051483,1.0,0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-gracas-recife-pe-57m2-id-2605051483/,1.0,520000.0,0
1.0,5.0,56.0,0,1.0,1.0,1.0,"Rua Cândido Lacerda, 221 - Torreão, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/53eec920d4731052af0da0b026e7aa78/apartamento-com-2-quartos-a-venda-56m-no-torreao-recife.jpg,2617751931,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torreao-recife-pe-56m2-id-2617751931/,1.0,408100.0,0
0,1.0,58.0,0,2.0,15.0,1.0,"Rua Doutor José Maria, 246 - Encruzilhada, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e2e2da9b6c1285ff125eb041bc553cc7/apartamento-com-2-quartos-a-venda-58m-no-encruzilhada-recife.jpg,2670545861,15.0,1.0,0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-encruzilhada-recife-pe-58m2-id-2670545861/,1.0,369000.0,0
1.0,,50.0,0,1.0,1.0,0,"Rua João de Deus, 268 - Torre, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/78aada2994e5ee91e862632eef21f4eb/apartamento-com-2-quartos-a-venda-50m-no-torre-recife.jpg,2565830964,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torre-recife-pe-50m2-id-2565830964/,2.0,336728.0,0
1.0,3.0,35.0,0,1.0,1.0,1.0,"Rua Nogueira de Souza, 305 - Pina, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cb051d8aeedf3e6b835e8ca3495f071e/apartamento-com-1-quarto-a-venda-35m-no-pina-recife.jpg,2668553094,1.0,1.0,1.0,1.0,0,1.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-pina-recife-pe-35m2-id-2668553094/,1.0,484000.0,0
0,33.0,29.0,1.0,1.0,380.0,1.0,"Rua Coronel Anízio Rodrigues Coelho, 661 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bc50c16e432a088fd95c5203bc19baba/apartamento-com-1-quarto-a-venda-29m-no-boa-viagem-recife.jpg,2624392689,705.0,1.0,0,0,0,1.0,0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-boa-viagem-recife-pe-29m2-id-2624392689/,1.0,245000.0,0
1.0,15.0,41.0,0,2.0,1.0,1.0,"Avenida Conde da Boa Vista, 1 - Agamenon Magalhães, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/44369c32ae9bbba870369f935982cea7/apartamento-com-2-quartos-a-venda-41m-no-agamenon-magalhaes-recife.jpg,2629456750,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-agamenon-magalhaes-recife-pe-41m2-id-2629456750/,1.0,349900.0,1.0
