academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,foto_imovel,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
1.0,,61.0,0,2.0,420.0,1.0,"Avenida Doutor José Rufino, 2380 - Barro, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bdd3cce819af190f45ac39f51d8c62a4/apartamento-com-3-quartos-a-venda-61m-no-barro-recife.jpg,2650061591,1.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-barro-recife-pe-61m2-id-2650061591/,1.0,352000.0,1.0
1.0,14.0,132.0,0,1.0,960.0,1.0,"Avenida Boa Viagem, 200 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/57b80c1ddbe0de98c0e209a68c0465fe/apartamento-com-3-quartos-a-venda-132m-no-boa-viagem-recife.jpg,2630453055,510.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-132m2-id-2630453055/,2.0,1500000.0,1.0
1.0,1.0,147.0,0,4.0,1000.0,1.0,"Rua Ministro Nelson Hungria, 26 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fef0835dca20378974a669f736fd3b95/apartamento-com-4-quartos-a-venda-147m-no-boa-viagem-recife.jpg,2601743091,245.0,1.0,1.0,1.0,1.0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-boa-viagem-recife-pe-147m2-id-2601743091/,2.0,1300001.0,1.0
0,2.0,180.0,0,4.0,1600.0,1.0,"Estrada do Arraial, 2823 - Tamarineira, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/be6af88edea77cddb4567ef97439a64b/apartamento-com-4-quartos-a-venda-180m-no-tamarineira-recife.jpg,2669816107,24000.0,1.0,0,0,1.0,4.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-tamarineira-recife-pe-180m2-id-2669816107/,2.0,680000.0,0
0,,63.0,1.0,2.0,500.0,0,"Encruzilhada, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/15203187ae46a928372fdfbd274de14c/apartamento-com-3-quartos-a-venda-63m-no-encruzilhada-recife.jpg,2603476276,1850.0,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-encruzilhada-recife-pe-63m2-id-2603476276/,1.0,350000.0,0
0,,189.0,0,2.0,,1.0,"Rua dos Navegantes, 1353 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b2903120371a6578359d5b2b7d943852/apartamento-com-4-quartos-a-venda-189m-no-boa-viagem-recife.jpg,2662643553,,0,0,0,0,4.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-boa-viagem-recife-pe-189m2-id-2662643553/,2.0,1100000.0,0
,2.0,91.0,,1.0,430.0,,"Rua Sideral, 290 - Boa Viagem, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7c85d81f70adefe1c8419763abc895b3/apartamento-com-2-quartos-a-venda-91m-no-boa-viagem-recife.jpg,2653978272,1.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-poco-artesiano-boa-viagem-recife-pe-91m2-id-2653978272/,1.0,350000.0,
1.0,,160.0,0,5.0,1200.0,1.0,"Rua Doutor Enéas de Lucena, 00 - Rosarinho, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/51ca63b0fcbfae7ac3212d612a7e9b56/apartamento-com-4-quartos-a-venda-160m-no-rosarinho-recife.jpg,2523918751,6000.0,1.0,1.0,0,1.0,4.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-rosarinho-recife-pe-160m2-id-2523918751/,3.0,1380000.0,0
1.0,5.0,61.0,0,2.0,100.0,1.0,"Avenida Doutor José Rufino, 2380 - Barro, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3a56724a6182621e1eef94aca415e610/apartamento-com-3-quartos-a-venda-61m-no-barro-recife.jpg,2658896692,100.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-barro-recife-pe-61m2-id-2658896692/,1.0,385000.0,0
1.0,,70.0,0,1.0,,1.0,"Rua Olga, 900 - Encruzilhada, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a0b1b60babcf902433e05f8b38e9a672/apartamento-com-3-quartos-a-venda-70m-no-encruzilhada-recife.jpg,2644473502,,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-encruzilhada-recife-pe-70m2-id-2644473502/,1.0,470000.0,0
0,,31.0,0,1.0,,1.0,"Rua do Cupim, 523 - Graças, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8a3185d875a4dd8255ff9e5e14cfb28c/apartamento-com-1-quarto-a-venda-31m-no-gracas-recife.jpg,2671427410,,1.0,0,1.0,0,1.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-gracas-recife-pe-31m2-id-2671427410/,1.0,310000.0,0
1.0,27.0,124.0,0,4.0,1.0,1.0,"Rua Félix de Brito Melo, 1832 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2d80d32e27b98213563b6cd123d30123/apartamento-com-3-quartos-a-venda-124m-no-boa-viagem-recife.jpg,2641930009,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-124m2-id-2641930009/,3.0,1600000.0,0
0,,130.0,0,2.0,,0,"Avenida Fernando Simões Barbosa, 896 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a0def41d719ffaf9b50dcbfc04bdcad3/apartamento-com-3-quartos-a-venda-130m-no-boa-viagem-recife.jpg,2653406866,,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-130m2-id-2653406866/,,900000.0,0
0,,115.0,1.0,1.0,1135.0,1.0,"Rua Zeferino Galvão, 100 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b509abc69fa1d0626f71572db59a3484/apartamento-com-3-quartos-a-venda-115m-no-boa-viagem-recife.jpg,2632620933,387.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-115m2-id-2632620933/,2.0,990000.0,0
0,,115.0,0,2.0,1.0,1.0,"Rua Carlos Pereira Falcão, 465 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2c5d9f05133425575b0b465c2f4d2f4d/apartamento-com-3-quartos-a-venda-115m-no-boa-viagem-recife.jpg,2642328667,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-115m2-id-2642328667/,2.0,669000.0,0
0,8.0,80.0,1.0,4.0,670.0,1.0,"Rua Davino Pontual, 111 - Madalena, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6d56d305b50cc983d4a5ee2ba28efcbf/apartamento-com-3-quartos-a-venda-80m-no-madalena-recife.jpg,2655088760,2000.0,0,1.0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-madalena-recife-pe-80m2-id-2655088760/,1.0,474990.0,0
1.0,12.0,36.0,0,2.0,2.0,1.0,"Rua Arnaldo Bastos, 76 - Madalena, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/5e2b452e870d761a3f4a8b48ae522908/apartamento-com-1-quarto-a-venda-36m-no-madalena-recife.jpg,2622753956,2.0,1.0,0,1.0,1.0,1.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-madalena-recife-pe-36m2-id-2622753956/,1.0,320000.0,0
0,,123.0,1.0,2.0,780.0,1.0,"Avenida Conselheiro Aguiar, 4771 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2c6253354a59fbf3d0746cc92745a537/apartamento-com-3-quartos-a-venda-123m-no-boa-viagem-recife.jpg,2600777709,190.0,0,0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-boa-viagem-recife-pe-123m2-id-2600777709/,2.0,450000.0,0
1.0,,237.0,0,4.0,1500.0,1.0,"Rua Dom Sebastião Leme, 1 - Graças, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/9b996da3213da60dd40b7a0502b3208e/apartamento-com-4-quartos-a-venda-237m-no-gracas-recife.jpg,2630728671,800.0,1.0,0,1.0,0,4.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-gracas-recife-pe-237m2-id-2630728671/,3.0,1700000.0,0
0,,70.0,0,2.0,,1.0,"Rua Jonathas de Vasconcelos, 427 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/dfec41d8ccbb35676cd6e48e43a26ac1/apartamento-com-2-quartos-a-venda-70m-no-boa-viagem-recife.jpg,2637177171,,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-boa-viagem-recife-pe-70m2-id-2637177171/,1.0,360000.0,0
1.0,,237.0,0,5.0,1500.0,1.0,"Rua Dom Sebastião Leme, 171 - Graças, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6f146b68e91711358c19a71b1c0ec1e5/apartamento-com-4-quartos-a-venda-237m-no-gracas-recife.jpg,2572453711,800.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-gracas-recife-pe-237m2-id-2572453711/,3.0,1500000.0,0
0,,200.0,0,4.0,1400.0,0,"Rua Astronauta Neil Armstrong, 160 - Casa Amarela, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/40d61bcea7c08944da69dae4b161be2f/apartamento-com-4-quartos-a-venda-200m-no-casa-amarela-recife.jpg,2649687490,5000.0,0,0,1.0,0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-casa-amarela-recife-pe-200m2-id-2649687490/,2.0,1200000.0,0
0,,92.0,1.0,3.0,700.0,1.0,"Rua Almirante Batista Leão, 342 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/4eef692b2ce7a8052e93a5b960ce6e71/apartamento-com-3-quartos-a-venda-92m-no-boa-viagem-recife.jpg,2483057475,220.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-92m2-id-2483057475/,2.0,550000.0,0
1.0,7.0,247.0,1.0,6.0,2400.0,1.0,"Avenida Boa Viagem, 500 - Pina, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a85c682d8e9e2b522d23c0d08bf4fda2/apartamento-com-4-quartos-a-venda-247m-no-pina-recife.jpg,2664034493,12000.0,0,1.0,0,0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-academia-pina-recife-pe-247m2-id-2664034493/,4.0,3500000.0,0
1.0,,40.0,0,1.0,1.0,1.0,"Rua Alameda das Hortências, 3 - Imbiribeira, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/118a823164eef7d8584560ddef813b93/apartamento-com-2-quartos-a-venda-40m-no-imbiribeira-recife.jpg,2648203312,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-imbiribeira-recife-pe-40m2-id-2648203312/,1.0,247000.0,0
,,122.0,,3.0,,,"Avenida Dezessete de Agosto - Casa Forte, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/098305a1d529ac09089d613978e00364/apartamento-com-3-quartos-a-venda-122m-no-casa-forte-recife.jpg,2567110272,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-casa-forte-recife-pe-122m2-id-2567110272/,2.0,1335812.0,
1.0,,71.0,0,2.0,,1.0,"Rua Amália Bernardino de Sousa, 732 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6c9077b8920181f013ae979389938b16/apartamento-com-3-quartos-a-venda-71m-no-boa-viagem-recife.jpg,2665230897,,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-71m2-id-2665230897/,1.0,570000.0,1.0
1.0,12.0,58.0,0,2.0,100.0,1.0,"Rua Joaquim Pinheiro, 174 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/701451892715d79e070b6cb005d2fc84/apartamento-com-3-quartos-a-venda-58m-no-boa-viagem-recife.jpg,2666204106,100.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-58m2-id-2666204106/,1.0,499000.0,0
0,,165.0,0,4.0,,0,"Rua Capitão Rebelinho, 88 - Pina, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/09aad005b385997fbb67e6d77219cfd5/apartamento-com-3-quartos-a-venda-165m-no-pina-recife.jpg,2654191889,,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pina-recife-pe-165m2-id-2654191889/,2.0,1700000.0,0
0,,52.0,0,1.0,,1.0,"Rua Professora Anunciada da Rocha Melo, 76 - Madalena, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/84808156df2b6d964ab68125ab175262/apartamento-com-2-quartos-a-venda-52m-no-madalena-recife.jpg,2670545727,,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-madalena-recife-pe-52m2-id-2670545727/,1.0,370000.0,0
1.0,,69.0,0,1.0,,1.0,"Rua Engenho Poeta, 1 - Caxangá, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a03d0f1698bd679cd3bbbd99797089ee/apartamento-com-3-quartos-a-venda-69m-no-caxanga-recife.jpg,2631214510,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-caxanga-recife-pe-69m2-id-2631214510/,1.0,512001.0,1.0
0,4.0,90.0,1.0,3.0,,1.0,"Rua Professor Aurélio de Castro Cavalcanti, 79 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/9a2109a9c38c035157e07e90c31af295/apartamento-com-3-quartos-a-venda-90m-no-boa-viagem-recife.jpg,2553572700,1300.0,0,0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-boa-viagem-recife-pe-90m2-id-2553572700/,1.0,370000.0,0
0,6.0,143.0,0,3.0,850.0,0,"Avenida Conselheiro Aguiar, 3150 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2a84cf05ac0178d9305855b7969d4eda/apartamento-com-3-quartos-a-venda-143m-no-boa-viagem-recife.jpg,2578459211,3000.0,0,0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-boa-viagem-recife-pe-143m2-id-2578459211/,1.0,500000.0,0
1.0,14.0,132.0,1.0,4.0,960.0,1.0,"Avenida Boa Viagem, 200 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0924d87aab22a88b500d196b88148515/apartamento-com-3-quartos-a-venda-132m-no-boa-viagem-recife.jpg,2620579233,510.0,1.0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-132m2-id-2620579233/,2.0,1320000.0,1.0
0,,47.0,1.0,1.0,420.0,1.0,"Rua Gonçalves Dias, 179 - Campo Grande, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6670941f7a7bb67ec4d2b3146394d228/apartamento-com-2-quartos-a-venda-47m-no-campo-grande-recife.jpg,2541834592,130.0,1.0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-recife-pe-47m2-id-2541834592/,2.0,330000.0,0
0,7.0,71.0,1.0,2.0,700.0,1.0,"Rua Frei Jaboatão, 161 - Torre, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b575c62e726515a86dac9287e494451c/apartamento-com-3-quartos-a-venda-71m-no-torre-recife.jpg,2582106796,,0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-torre-recife-pe-71m2-id-2582106796/,1.0,394990.0,0
1.0,,55.0,1.0,2.0,1.0,1.0,"Rua Coronel Célio Regueira, 60 - Várzea, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/44dcb4cb3cc75fd28eef05cbc022e056/apartamento-com-2-quartos-a-venda-55m-no-varzea-recife.jpg,2670778298,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-varzea-recife-pe-55m2-id-2670778298/,1.0,388000.0,1.0
1.0,,200.0,1.0,5.0,2000.0,1.0,"Avenida Dezessete de Agosto, 1070 - Casa Forte, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d54543d5681955c761e94ca9fa6b98bf/apartamento-com-4-quartos-a-venda-200m-no-casa-forte-recife.jpg,2627564155,700.0,1.0,1.0,0,1.0,4.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-casa-forte-recife-pe-200m2-id-2627564155/,3.0,2200000.0,0
1.0,,61.0,1.0,2.0,1.0,1.0,"Rua Dona Julieta, 360 - Encruzilhada, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/44008a8b8e9dfa674a7a4c666c85dc98/apartamento-com-3-quartos-a-venda-61m-no-encruzilhada-recife.jpg,2667762876,1.0,1.0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-encruzilhada-recife-pe-61m2-id-2667762876/,1.0,385000.0,0
1.0,4.0,60.0,1.0,2.0,400.0,1.0,"Rua Engenheiro Leonardo Arcoverde, 201 - Madalena, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/996bbca50a6f0e837a5b73faf9533c84/apartamento-com-3-quartos-a-venda-60m-no-madalena-recife.jpg,2606115002,2350.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-madalena-recife-pe-60m2-id-2606115002/,1.0,439000.0,0
1.0,,55.0,0,2.0,450.0,0,"Rua Cândido Lacerda, 221 - Torreão, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/83c25d8af1b1a9c9f6834ef95729db27/apartamento-com-2-quartos-a-venda-55m-no-torreao-recife.jpg,2576041281,127.0,1.0,1.0,1.0,0,2.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torreao-recife-pe-55m2-id-2576041281/,1.0,417504.0,0
0,,98.0,1.0,3.0,1000.0,1.0,"Rua Astronauta Neil Armstrong, 13 - Casa Amarela, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ed0c50ce87fee43b7e9d578e771f47d7/apartamento-com-3-quartos-a-venda-98m-no-casa-amarela-recife.jpg,2670374602,370.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-casa-amarela-recife-pe-98m2-id-2670374602/,2.0,750000.0,0
0,1.0,127.0,0,1.0,1240.0,1.0,"Avenida Fernando Simões Barbosa, 1080 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e31e31b528abd9540eee931ad9f16a01/apartamento-com-3-quartos-a-venda-127m-no-boa-viagem-recife.jpg,2612508191,397.0,1.0,0,1.0,0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-127m2-id-2612508191/,2.0,650000.0,0
1.0,,262.0,0,5.0,11.0,1.0,"Avenida Engenheiro José Estelita, 1543 - Recife, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ed08a9117c95e38488e7d5a211652081/apartamento-com-4-quartos-a-venda-262m-no-recife-recife.jpg,2654240567,11.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-recife-recife-pe-262m2-id-2654240567/,4.0,2853738.0,1.0
0,10.0,192.0,0,1.0,,1.0,"Avenida Boa Viagem, 5130 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/85a7ab5d4eee311c2614149000954b7d/apartamento-com-3-quartos-a-venda-192m-no-boa-viagem-recife.jpg,2641473264,,0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-boa-viagem-recife-pe-192m2-id-2641473264/,3.0,2700000.0,0
1.0,1.0,45.0,0,2.0,1.0,1.0,"Rua Othon Paraíso, 1 - Torreão, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2babed307dfcef3da4e80d2ab8dcd198/apartamento-com-2-quartos-a-venda-45m-no-torreao-recife.jpg,2627494549,1.0,1.0,1.0,1.0,0,2.0,1.0,0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torreao-recife-pe-45m2-id-2627494549/,1.0,317000.0,1.0
0,,48.0,1.0,2.0,1.0,1.0,"Rua Maria Jaboatão, 59 - Várzea, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/4d9c46b89c70d7ce061d612d74cd8573/apartamento-com-2-quartos-a-venda-48m-no-varzea-recife.jpg,2669094924,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-varzea-recife-pe-48m2-id-2669094924/,1.0,335000.0,0
,1.0,58.0,,1.0,968.0,,"Avenida Boa Viagem - Boa Viagem, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7775f8c4a9fc034abab2e1fc18f7aa94/apartamento-com-2-quartos-a-venda-58m-no-boa-viagem-recife.jpg,2665971830,2700.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-boa-viagem-recife-pe-58m2-id-2665971830/,1.0,1010000.0,
,9.0,51.0,,2.0,695.0,,"Rua Aviador Severiano Lins, 466 - Boa Viagem, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8b5f9f39667a295a92f742e94abf809c/apartamento-com-2-quartos-a-venda-51m-no-boa-viagem-recife.jpg,2661177961,1528.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-boa-viagem-recife-pe-51m2-id-2661177961/,2.0,420000.0,
0,16.0,61.0,1.0,1.0,844.0,1.0,"Rua Padre Roma, 34 - Tamarineira, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/4830f690303ddf18d0cf3ff5f14c7ca7/apartamento-com-2-quartos-a-venda-61m-no-tamarineira-recife.jpg,2657878999,230.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tamarineira-recife-pe-61m2-id-2657878999/,1.0,460000.0,0
0,12.0,157.0,1.0,3.0,1102.0,1.0,"Rua da Estrela, 146 - Casa Amarela, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d481f97e14a540056498fe1bfc59b364/apartamento-com-3-quartos-a-venda-157m-no-casa-amarela-recife.jpg,2657877552,440.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-casa-amarela-recife-pe-157m2-id-2657877552/,2.0,810000.0,0
0,,85.0,0,2.0,935.0,1.0,"Avenida Santos Dumont, 1491 - Rosarinho, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/be901d708d920bf43ae70c88838dbe31/apartamento-com-3-quartos-a-venda-85m-no-rosarinho-recife.jpg,2634239111,240.0,1.0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-rosarinho-recife-pe-85m2-id-2634239111/,2.0,690000.0,1.0
