academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,url,tipo,endereco,latitude,longitude
,,267.0,,5.0,600.0,,,2646964797,185.0,,,,,4.0,,,,2.0,900000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-inoa-marica-rj-267m2-id-2646964797/,casas_de_condominio,"Rodovia Ernani do Amaral Peixoto - Inoã, Maricá - RJ",-22.935670776907,-42.908172266608
0.0,,480.0,1.0,1.0,,0.0,0.0,2616488387,200.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,420000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-pindobas-marica-rj-480m2-id-2616488387/,casas,"Rua Dez - Pindobas, Maricá - RJ",-22.916646853583,-42.747267376329
,,100.0,,2.0,540.0,,,2647296302,960.0,,,,,3.0,,,,2.0,524730.0,,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-sao-jose-de-imbassai-marica-rj-100m2-id-2647296302/,casas_de_condominio,"Rua Dois, 100 - São José de Imbassai, Maricá - RJ",-22.929763224003,-42.892633107348
0.0,,75.0,1.0,2.0,,0.0,0.0,2626931462,560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,340000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-atlantico-central-marica-rj-75m2-id-2626931462/,casas,"Rua Florinda Francisca Domingues - Jardim Atlântico Central, Maricá - RJ",-22.958025002367,-42.945134967074
0.0,,335.0,0.0,3.0,400.0,0.0,0.0,2618880434,1715.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,880000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-recanto-de-itaipuacu-marica-rj-335m2-id-2618880434/,casas_de_condominio,"Rua A, 83 - Recanto De Itaipuacu, Maricá - RJ",-22.972009402027,-43.015026744405
0.0,,240.0,1.0,1.0,,0.0,0.0,2616488477,200.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,490000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-ponte-negra-marica-rj-240m2-id-2616488477/,casas,"Rua Setenta e Seis - Ponte Negra, Maricá - RJ",-22.95266,-42.69548
,1.0,810.0,,,,,,2585302058,1200.0,,,,,,,,,,450000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-quintal-jardim-atlantico-oeste-marica-rj-810m2-id-2585302058/,terrenos_lotes_e_condominios,"Jardim Atlântico Oeste, Maricá - RJ",-22.96347,-42.97024
0.0,,99.0,1.0,2.0,320.0,0.0,0.0,2640428438,200.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,480000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-pindobas-marica-rj-99m2-id-2640428438/,casas_de_condominio,"Estrada Henfil, 876 - Pindobas, Maricá - RJ",-22.89473,-42.83096
0.0,,116.0,1.0,1.0,,0.0,0.0,2584374658,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,510000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-itaupuacu-marica-rj-116m2-id-2584374658/,casas,"Rua Oitenta e Cinco, 37 - Itaupuaçu, Maricá - RJ",-22.9398654573,-42.752313924751
0.0,,110.0,1.0,2.0,,0.0,0.0,2568630352,350.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,350000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-churrasqueira-jardim-atlantico-leste-itaipuacu-marica-rj-110m2-id-2568630352/,coberturas,"Rua Cento e Oitenta e Seis, 10 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",-22.94927287796,-42.966799933032
