"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,4,51,1,2,700,1,0,2643758115,1400,1,0,1,0,1,0,0,0,1,375000,0,"Avenida Engenheiro Roberto Freire, 4044 - Ponta Negra, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-ponta-negra-natal-rn-51m2-id-2643758115/",-5.873020014666,-35.180140032983
0,4,47,0,1,NA,1,0,2598204611,NA,1,1,0,0,2,0,0,0,1,167000,0,"Avenida Poços de Caldas, 1875 - Neópolis, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-neopolis-natal-rn-47m2-id-2598204611/",-5.876758211115,-35.207041861643
0,12,127,1,4,1200,1,1,2647128172,3662,1,0,1,0,3,1,0,0,2,795000,0,"Rua Pastor Jerônimo Gueiros, 1005 - Tirol, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-tirol-natal-rn-127m2-id-2647128172/",-5.802494678462,-35.20404651587
NA,NA,79,NA,2,542,NA,NA,2623278419,NA,NA,NA,NA,NA,3,NA,NA,NA,2,360000,NA,"Avenida Amintas Barros, 1420 - Lagoa Nova, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-lagoa-nova-natal-rn-79m2-id-2623278419/",-5.815389765577,-35.222762553946
1,8,117,0,4,650,1,1,2615323056,2200,1,1,1,1,3,1,0,0,2,610000,1,"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-neopolis-natal-rn-117m2-id-2615323056/",-5.866017784938,-35.216473498667
1,2,156,0,5,600,1,1,2648671162,2500,1,1,1,1,3,1,0,0,2,1192000,1,"Rua Neuza Farache, 1841 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-capim-macio-natal-rn-156m2-id-2648671162/",-5.858554254561,-35.19836507494
0,4,56,1,2,490,0,0,2622029223,NA,1,0,1,0,2,1,0,0,1,230000,0,"Rua Monsenhor José Paulino, 1061 - Tirol, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tirol-natal-rn-56m2-id-2622029223/",-5.807989123213,-35.205731096661
1,8,56,0,2,526,1,0,2637125155,2375,1,1,1,0,2,1,0,0,1,390000,0,"Rua Aldo de Melo Freire - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-capim-macio-natal-rn-56m2-id-2637125155/",-5.855819734519,-35.202787983697
0,NA,55,0,2,500,1,1,2643234941,240,1,0,0,0,2,1,0,0,2,410000,0,"Rua Doutor Rômulo Jorge, 120 - Lagoa Nova, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-lagoa-nova-natal-rn-55m2-id-2643234941/",-5.817404780734,-35.222528694981
0,1,51,1,1,200,0,0,2655440264,500,1,0,0,0,2,0,0,0,1,150000,0,"Rua Afonso Magalhães - Alagamar, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-alagamar-natal-rn-51m2-id-2655440264/",-5.886766907131,-35.173529938159
