"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
0,NA,108,1,1,385,0,0,2670419999,NA,1,0,0,1,3,0,0,0,2,2615,1,"Sao Francisco, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-com-piscina-sao-francisco-rio-branco-ac-108m2-id-2670419999/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cc31e245745c6b1de4f66d35cb598af5/casa-de-condominio-com-3-quartos-para-alugar-108m-no-sao-francisco-rio-branco.jpg",-9.95828,-67.80029
0,NA,392,1,1,750,0,0,2637017295,NA,1,0,0,0,3,0,0,0,3,7000,0,"Chacara Ipe, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-chacara-ipe-rio-branco-ac-392m2-id-2637017295/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8e1b753a96244c6d5b9660fe680c9db9/casa-de-condominio-com-3-quartos-para-venda-ou-aluguel-392m-no-chacara-ipe-rio-branco.jpg",-9.96293,-67.86855
0,2,250,1,5,NA,0,0,2661234666,NA,0,0,0,0,4,0,0,0,2,2500,0,"Rua Isaura Parente, 1860 - Estacao Experimental, Rio Branco - AC","imoveis_para_alugar","https://www.zapimoveis.com.br/imovel/aluguel-4-quartos-com-ambientes-integrados-estacao-experimental-rio-branco-ac-250m2-id-2661234666/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6ee7f29e00ed2d83e95793ca25bb14b5/com-4-quartos-para-alugar-250m-no-estacao-experimental-rio-branco.jpg",-9.96287998276,-67.830940032299
NA,NA,380,NA,3,NA,NA,NA,2626182601,NA,NA,NA,NA,NA,5,NA,NA,NA,4,4500,NA,"Rua Dom Bosco 2, 230 - Bosque, Rio Branco - AC","casas_comerciais","https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-bosque-rio-branco-ac-380m2-id-2626182601/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/9d3d12cd6e571ef4db03f633d78609f6/casa-comercial-com-5-quartos-para-alugar-380m-no-bosque-rio-branco.jpg",-9.963628399301,-67.813989381745
NA,NA,22735,NA,1,68205,NA,NA,2491370685,34103,NA,NA,NA,NA,NA,NA,NA,NA,12,364000,NA,"Ipase, Rio Branco - AC","casas_comerciais","https://www.zapimoveis.com.br/imovel/venda-casa-ipase-rio-branco-ac-22735m2-id-2491370685/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/242eaa4d4368d5b10b58f099987b0963/casa-comercial-para-venda-ou-aluguel-22735m-no-ipase-rio-branco.jpg",-9.96918,-67.81048
NA,NA,130,NA,1,NA,NA,NA,2653180015,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2200,NA,"Conjunto Universitario, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-conjunto-universitario-rio-branco-ac-130m2-id-2653180015/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/984c015ad6cf6b124bb78b6dcf9a54c2/casa-com-3-quartos-para-venda-ou-aluguel-130m-no-conjunto-universitario-rio-branco.jpg",-9.94636,-67.88182
NA,NA,215,NA,3,NA,NA,NA,2641832510,NA,NA,NA,NA,NA,5,NA,NA,NA,2,4500,NA,"Rua Fausto Robalo, 49 - Centro, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-churrasqueira-centro-rio-branco-ac-215m2-id-2641832510/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ec70a9a02b135b0f6e5ad0fbc175a11c/casa-com-5-quartos-para-venda-ou-aluguel-215m-no-centro-rio-branco.jpg",-9.971759980531,-67.809429973275
NA,NA,250,NA,2,NA,NA,NA,2660683581,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3500,NA,"Nova Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-nova-esperanca-rio-branco-ac-250m2-id-2660683581/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b1357f39eca6e718392ab175109c1bd1/casa-com-4-quartos-para-venda-ou-aluguel-250m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
0,NA,250,1,1,NA,0,0,2662031960,NA,0,0,0,0,4,0,0,0,1,1800,0,"Nova Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-area-de-servico-nova-esperanca-rio-branco-ac-250m2-id-2662031960/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/058701e37eb9b8e184a1064ae68448c0/casa-com-4-quartos-para-venda-ou-aluguel-250m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
NA,NA,198,NA,1,NA,NA,NA,2668696794,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1800,NA,"Conjunto Guiomard Santos, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-conjunto-guiomard-santos-rio-branco-ac-198m2-id-2668696794/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/af0ab177f95f083db5e84a29ba8310fa/casa-com-3-quartos-para-alugar-198m-no-conjunto-guiomard-santos-rio-branco.jpg",-9.95947,-67.80622
