"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,NA,NA,NA,NA,NA,NA,2633665829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399998,NA,"Avenida Brasil, SN - Centro, Bayeux - PB","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-bayeux-pb-id-2633665829/",-7.12515,-34.9228
NA,NA,450,NA,NA,NA,NA,NA,2650843699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320000,NA,"Rodovia BR-101 - Comercial Norte, Bayeux - PB","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-comercial-norte-bayeux-pb-450m2-id-2650843699/",-7.146316887735,-34.915435999078
NA,NA,424,NA,NA,NA,NA,NA,2577374924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310000,NA,"Rua América do Sul, 230 - Comercial Norte, Bayeux - PB","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-comercial-norte-bayeux-pb-424m2-id-2577374924/",-7.148536532046,-34.921656850012
NA,NA,465,NA,4,NA,NA,NA,2654223410,NA,NA,NA,NA,NA,3,NA,NA,NA,4,1899999,NA,"Avenida Francisco Marques da Fonseca, 1 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-lazer-comercial-norte-bayeux-pb-465m2-id-2654223410/",-7.133901197539,-34.929905897988
1,NA,184,1,5,550,0,1,2618499882,NA,1,1,0,1,3,1,0,0,4,1200000,0,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-184m2-id-2618499882/",-7.14611,-34.92299
1,NA,191,1,5,NA,0,1,2633105896,NA,1,1,0,1,4,1,0,0,4,1250000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-comercial-norte-bayeux-pb-191m2-id-2633105896/",-7.146316887735,-34.915435999078
1,NA,209,1,5,400,0,1,2627175253,NA,1,1,0,1,3,1,0,0,4,1290000,0,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-209m2-id-2627175253/",-7.14611,-34.92299
1,NA,209,1,4,NA,0,1,2636658559,NA,1,1,0,1,3,1,0,0,4,1100000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-209m2-id-2636658559/",-7.146316887735,-34.915435999078
1,NA,200,1,4,NA,0,1,2633109885,NA,1,1,0,1,3,1,0,1,4,1200000,1,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-200m2-id-2633109885/",-7.146316887735,-34.915435999078
1,NA,420,1,3,NA,0,1,2638086271,NA,0,1,0,1,3,1,0,0,4,1200000,0,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-comercial-norte-bayeux-pb-420m2-id-2638086271/",-7.14611,-34.92299
1,NA,192,1,3,NA,0,1,2633111392,NA,1,1,0,1,4,1,0,0,2,1200000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-comercial-norte-bayeux-pb-192m2-id-2633111392/",-7.146316887735,-34.915435999078
1,NA,304,1,6,NA,0,1,2653504663,NA,1,1,0,1,5,1,0,0,4,1900000,1,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-comercial-norte-bayeux-pb-304m2-id-2653504663/",-7.146316887735,-34.915435999078
NA,NA,261,NA,1,NA,NA,NA,2623809754,NA,NA,NA,NA,NA,3,NA,NA,NA,4,1500000,NA,"Rua Manoel Paulino Gomes, 10 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-comercial-norte-bayeux-pb-261m2-id-2623809754/",-7.143448496691,-34.919184461035
1,NA,233,0,4,NA,0,1,2633109886,NA,1,1,0,1,3,1,0,0,4,1500000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-233m2-id-2633109886/",-7.146316887735,-34.915435999078
NA,NA,304,NA,6,NA,NA,NA,2630030924,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1900000,NA,"Avenida Liberdade, 10 - Centro, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-centro-bayeux-pb-304m2-id-2630030924/",-7.120639983155,-34.894430038936
NA,NA,209,NA,4,NA,NA,NA,2643998207,NA,NA,NA,NA,NA,3,NA,NA,NA,4,1100000,NA,"Rua do Manguinho - Imaculada, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-imaculada-bayeux-pb-209m2-id-2643998207/",-7.138634796838,-34.919003811337
1,NA,338,1,7,550,0,1,2618501067,NA,1,1,0,1,5,1,0,0,4,2100000,0,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-comercial-norte-bayeux-pb-338m2-id-2618501067/",-7.14611,-34.92299
1,NA,202,1,2,NA,0,1,2648979281,NA,1,1,1,1,3,1,0,0,2,1200000,0,"Avenida Ayrton Senna, 10 - Jardim Aeroporto 	, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-aeroporto-bayeux-pb-202m2-id-2648979281/",-7.142907326546,-34.924150594284
1,NA,260,1,4,NA,0,1,2653504665,NA,1,1,0,1,3,1,0,0,4,1500000,0,"Rodovia BR-101, 230 - Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-comercial-norte-bayeux-pb-260m2-id-2653504665/",-7.146316887735,-34.915435999078
