"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
0,NA,52,1,2,NA,0,0,2626978157,NA,0,0,0,0,2,0,0,0,1,54865,0,"Rua Celestino Barbosa - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-comercial-norte-bayeux-pb-52m2-id-2626978157/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a43b0db90ffddfbb33c0a36bf921ff5a/apartamento-com-2-quartos-a-venda-52m-no-comercial-norte-bayeux.jpg",-7.148753805229,-34.91818264467
NA,10,63,NA,2,NA,NA,NA,2642779064,NA,NA,NA,NA,NA,2,NA,NA,NA,1,120000,NA,"Avenida Ayrton Senna, 10 - Jardim Aeroporto, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-aeroporto-bayeux-pb-63m2-id-2642779064/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/263390492ed74fbd1a923dc80d1ff802/apartamento-com-2-quartos-a-venda-63m-no-jardim-aeroporto-bayeux.jpg",-7.142907326546,-34.924150594284
0,NA,2002,1,1,NA,0,1,2666841816,NA,1,1,1,1,4,1,0,0,4,1350000,0,"Avenida Ayrton Senna, 10 - Jardim Aeroporto, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-jardim-aeroporto-bayeux-pb-2002m2-id-2666841816/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/41a0bffb1408a180eb5abcd20b875ea1/apartamento-com-4-quartos-a-venda-2002m-no-jardim-aeroporto-bayeux.jpg",-7.142907326546,-34.924150594284
NA,1,274,NA,4,NA,NA,NA,2659650356,NA,NA,NA,NA,NA,4,NA,NA,NA,4,1699000,NA,"Rodovia BR-101, 1 - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-comercial-norte-bayeux-pb-274m2-id-2659650356/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b428f408fa12639885b5881fc56204d0/apartamento-com-4-quartos-a-venda-274m-no-comercial-norte-bayeux.jpg",-7.14631687973,-34.915436008038
