"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,57,NA,2,2,NA,NA,2644106066,2,NA,NA,NA,NA,2,NA,NA,1,175005,NA,"Estrada de Ribamar, 201 - São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-jose-de-ribamar-ma-57m2-id-2644106066/",-2.551982498362,-44.177581851989
1,NA,41,0,1,2,0,1,2645211249,2,1,1,1,1,2,0,0,NA,174990,0,"Centro, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-sao-jose-de-ribamar-ma-41m2-id-2645211249/",-2.56098,-44.05524
NA,NA,90,NA,2,NA,NA,NA,2643777723,NA,NA,NA,NA,NA,2,NA,NA,4,330000,NA,"Rua 7 - São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-jose-de-ribamar-ma-90m2-id-2643777723/",-2.54431397448,-44.198554151897
NA,NA,57,NA,2,2,NA,NA,2644099939,2,NA,NA,NA,NA,2,NA,NA,1,175002,NA,"Estrada de Ribamar, 201 - São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-jose-de-ribamar-ma-57m2-id-2644099939/",-2.551982498362,-44.177581851989
NA,NA,40,NA,1,1,NA,NA,2645005667,1,NA,NA,NA,NA,2,NA,NA,1,172414,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2645005667/",-2.55002,-44.06755
NA,NA,40,NA,1,1,NA,NA,2643496364,1,NA,NA,NA,NA,2,NA,NA,1,172908,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2643496364/",-2.55002,-44.06755
NA,NA,160,NA,4,NA,NA,NA,2645734112,NA,NA,NA,NA,NA,3,NA,NA,4,650000,NA,"Alameda das Orquídeas, 100 - Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-aracagy-sao-jose-de-ribamar-ma-160m2-id-2645734112/",-2.479730897577,-44.211125654781
0,NA,48,0,1,NA,0,0,2635284105,NA,1,1,0,1,2,0,0,1,65000,0,"Estrada da Maioba, 120 - Novo Cohatrac, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-novo-cohatrac-sao-jose-de-ribamar-ma-48m2-id-2635284105/",-2.531573388247,-44.181844053101
0,NA,180,0,2,NA,0,1,2640772013,NA,0,0,0,0,3,0,0,NA,350000,0,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-jardim-aracagy-sao-jose-de-ribamar-ma-180m2-id-2640772013/",-2.47975864141,-44.211260753471
NA,NA,40,NA,1,1,NA,NA,2644813079,1,NA,NA,NA,NA,3,NA,NA,1,172420,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2644813079/",-2.55002,-44.06755
