academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,,64.0,1.0,2.0,,0,"Estrada Dezoito - Itaocaia Valley, Maricá - RJ",0,2630684894,180.0,0,0,0,0,2.0,0,0,0,sobrados,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-area-de-servico-itaocaia-valley-marica-rj-64m2-id-2630684894/,1.0,220000.0,0
0,,83.0,0,2.0,1.0,0,"Rua Van Lerbergue, 100 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",0,2647190487,1.0,1.0,0,0,0,2.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-piscina-jardim-atlantico-leste-itaipuacu-marica-rj-83m2-id-2647190487/,2.0,399600.0,0
,,80.0,,4.0,128.0,,"Estrada Ponta Negra-Sampaio Correia, 5005 - Jaconé, Maricá - RJ",,2571610402,600.0,,,,,3.0,,,,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-jacone-marica-rj-80m2-id-2571610402/,4.0,380000.0,
,,219.0,,2.0,,,"Rua Van Lerbergue - Jardim Atlântico Oeste, Maricá - RJ",,2603908995,300.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-atlantico-oeste-marica-rj-219m2-id-2603908995/,1.0,335000.0,
0,,480.0,0,3.0,,0,"Rua Cinquenta, 910 - Jardim Atlântico Central, Maricá - RJ",0,2646745754,146.0,1.0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-atlantico-central-marica-rj-480m2-id-2646745754/,5.0,780000.0,0
,,129.0,,2.0,,,"Rua Van Lerbergue - Jardim Atlântico Oeste, Maricá - RJ",,2610094592,345.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-atlantico-oeste-marica-rj-129m2-id-2610094592/,1.0,335000.0,
,,394.0,,,430.0,,"Rodovia Vereador Oldemar Guedes Figueiredo, 2560 - Ubatiba, Maricá - RJ",,2601321960,1250.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ubatiba-marica-rj-394m2-id-2601321960/,,215000.0,
0,,159.0,1.0,2.0,,0,"Barroco, Maricá - RJ",0,2647384782,,0,0,0,0,2.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-barroco-marica-rj-159m2-id-2647384782/,3.0,209525.0,0
,,85.0,,3.0,1.0,,"Rua José Floriano Pires, 100 - Itapeba, Maricá - RJ",,2647321045,1.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-itapeba-marica-rj-85m2-id-2647321045/,1.0,264420.0,
,,410.0,,,1.0,,"Rua Vinte e Oito, 100 - Chácaras De Inoã, Maricá - RJ",,2647302840,1.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-de-inoa-marica-rj-410m2-id-2647302840/,,129660.0,
0,,104.0,1.0,3.0,,0,"Rua Eduardo Carlson, 19 - Jardim Atlântico Central, Maricá - RJ",0,2643783131,100.0,1.0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-atlantico-central-marica-rj-104m2-id-2643783131/,2.0,630000.0,1.0
,,360.0,,,,,"Estrada Melchior, 18 - Caxito, Maricá - RJ",,2607934638,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-caxito-marica-rj-360m2-id-2607934638/,,95000.0,
0,,160.0,0,2.0,,0,"Rua Sargento Waldir Silva, 631 - Jardim Atlântico Central, Maricá - RJ",0,2637341968,1024.0,0,0,0,0,2.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-atlantico-central-marica-rj-160m2-id-2637341968/,3.0,430000.0,1.0
,,430.0,,,450.0,,"Estrada Oscar Vieira da Costa Júnior - Cajueiro, Maricá - RJ",,2581639698,140.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cajueiro-marica-rj-430m2-id-2581639698/,,220000.0,
0,,61.0,1.0,3.0,,0,"Avenida Doutor Antônio Marques Mathias - Jardim Atlântico Central, Maricá - RJ",0,2647657960,400.0,0,0,0,0,2.0,0,0,0,sobrados,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-jardim-atlantico-central-marica-rj-61m2-id-2647657960/,1.0,340000.0,0
,,70.0,,1.0,,,"Rua George Savalla Gomes, 236 - São José de Imbassai, Maricá - RJ",,2647236783,,,,,,2.0,,,,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-sao-jose-de-imbassai-marica-rj-70m2-id-2647236783/,1.0,240000.0,
,,601.0,,,551.0,,"Rodovia Vereador Oldemar Guedes Figueiredo, 5500 - Ubatiba, Maricá - RJ",,2604910614,150.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ubatiba-marica-rj-601m2-id-2604910614/,,104000.0,
0,,200.0,1.0,2.0,,0,"Rua Quarenta e Três, 100 - Jardim Atlântico Central, Maricá - RJ",0,2627149250,70.0,0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-atlantico-central-marica-rj-200m2-id-2627149250/,2.0,530000.0,0
,,360.0,,,325.0,,"Avenida Carlos Marighella, 300 - Chácaras De Inoã, Maricá - RJ",,2643784308,240.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-de-inoa-marica-rj-360m2-id-2643784308/,,110000.0,
,,130.0,,3.0,1.0,,"Rua Oitenta e Cinco, 100 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",,2647195450,1.0,,,,,3.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-atlantico-leste-itaipuacu-marica-rj-130m2-id-2647195450/,2.0,509180.0,
