"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,100,NA,2,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2594936468,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aracagy-sao-jose-de-ribamar-ma-100m2-id-2594936468/",NA,450000,NA,-2.47975864141,-44.211260753471
1,1,40,1,1,1,0,"Via de Acesso ao Village dos Pássaros, 200 - Vila Picarreira, São José de Ribamar - MA",0,2648011109,1,1,0,1,1,2,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-picarreira-sao-jose-de-ribamar-ma-40m2-id-2648011109/",1,172400,0,-2.55032,-44.10427
NA,NA,900,NA,NA,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2634193170,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aracagy-sao-jose-de-ribamar-ma-900m2-id-2634193170/",NA,290000,NA,-2.47975864141,-44.211260753471
NA,NA,1000,NA,NA,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2533446710,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-aracagy-sao-jose-de-ribamar-ma-1000m2-id-2533446710/",NA,155000,NA,-2.47975864141,-44.211260753471
NA,NA,108,NA,2,8,NA,"Araçagy, São José de Ribamar - MA",NA,2647287611,8,NA,NA,NA,NA,3,NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-aracagy-sao-jose-de-ribamar-ma-108m2-id-2647287611/",NA,499000,NA,-2.47975864141,-44.211260753471
0,NA,2904,1,1,NA,0,"Centro, São José de Ribamar - MA",0,2646668777,120,0,0,0,0,2,0,0,0,"fazendas_sitios_e_chacaras","https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-2-quartos-com-cozinha-centro-sao-jose-de-ribamar-ma-2904m2-id-2646668777/",4,3e+05,0,-2.56098,-44.05524
NA,NA,40,NA,1,1,NA,"Forquilha, São José de Ribamar - MA",NA,2648803672,1,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2648803672/",1,172420,NA,-2.55002,-44.06755
0,1,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649646004,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649646004/",1,189912,0,-2.548115424891,-44.106867561911
0,NA,44,0,1,200,0,"Novo Cohatrac, São José de Ribamar - MA",1,2646504660,NA,1,1,1,1,2,0,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-novo-cohatrac-sao-jose-de-ribamar-ma-44m2-id-2646504660/",1,40000,0,-2.54014,-44.2055
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649553972,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649553972/",1,189902,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649530261,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649530261/",1,189900,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649553972,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649553972/",1,189902,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649552418,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649552418/",1,189905,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649556655,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649556655/",1,189906,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649553708,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649553708/",1,189904,0,-2.548115424891,-44.106867561911
0,NA,53,0,1,2,0,"Vila Picarreira, São José de Ribamar - MA",0,2649648561,2,0,0,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-lazer-vila-picarreira-sao-jose-de-ribamar-ma-53m2-id-2649648561/",1,189911,0,-2.548115424891,-44.106867561911
0,NA,139,1,6,400,0,"Araçagy, São José de Ribamar - MA",1,2634906203,198,1,0,1,0,4,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-139m2-id-2634906203/",2,800025,1,-2.47975864141,-44.211260753471
0,NA,675,0,NA,NA,0,"Araçagy, São José de Ribamar - MA",0,2605753429,NA,0,0,1,0,NA,0,0,0,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aracagy-sao-jose-de-ribamar-ma-675m2-id-2605753429/",NA,510000,0,-2.47975864141,-44.211260753471
NA,NA,140,NA,5,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2649460562,NA,NA,NA,NA,NA,4,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-closet-aracagy-sao-jose-de-ribamar-ma-140m2-id-2649460562/",3,580000,NA,-2.47975864141,-44.211260753471
1,NA,41,0,1,1,0,"Vila Picarreira, São José de Ribamar - MA",0,2646539563,1,0,0,1,1,2,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-vila-picarreira-sao-jose-de-ribamar-ma-41m2-id-2646539563/",NA,173900,0,-2.548115424891,-44.106867561911
0,NA,150,0,2,280,0,"rua 7 aracagy, 1 - Araçagy, São José de Ribamar - MA",1,2639930555,NA,1,1,1,1,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-150m2-id-2639930555/",2,530000,0,-2.54431397448,-44.198554151897
0,NA,150,0,2,280,0,"Araçagy, São José de Ribamar - MA",1,2639652386,NA,1,1,1,0,2,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-150m2-id-2639652386/",1,530000,0,-2.47975864141,-44.211260753471
NA,NA,108,NA,2,7,NA,"Araçagy, São José de Ribamar - MA",NA,2647288186,7,NA,NA,NA,NA,3,NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-aracagy-sao-jose-de-ribamar-ma-108m2-id-2647288186/",NA,499000,NA,-2.47975864141,-44.211260753471
NA,2,127,NA,2,1,NA,"Araçagy, São José de Ribamar - MA",NA,2638339359,1,NA,NA,NA,NA,4,NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-aracagy-sao-jose-de-ribamar-ma-127m2-id-2638339359/",2,530000,NA,-2.47975864141,-44.211260753471
0,NA,124,0,2,1,1,"Vila São José, São José de Ribamar - MA",0,2644816383,1,1,1,1,1,3,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-sao-jose-sao-jose-de-ribamar-ma-124m2-id-2644816383/",2,6e+05,0,-2.54808,-44.08569
NA,NA,40,NA,1,1,NA,"Forquilha, São José de Ribamar - MA",NA,2647737963,1,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2647737963/",1,172407,NA,-2.55002,-44.06755
NA,NA,56,NA,2,9,NA,"Araçagy, São José de Ribamar - MA",NA,2647850338,9,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-56m2-id-2647850338/",1,238000,NA,-2.47975864141,-44.211260753471
1,NA,41,0,1,1,0,"Vila São José, São José de Ribamar - MA",0,2646339926,1,1,1,1,1,2,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-sao-jose-sao-jose-de-ribamar-ma-41m2-id-2646339926/",1,163004,0,-2.54808,-44.08569
0,NA,56,0,1,NA,0,"Araçagy, São José de Ribamar - MA",0,2646357692,NA,0,0,1,0,2,0,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-acesso-24-horas-aracagy-sao-jose-de-ribamar-ma-56m2-id-2646357692/",1,230000,0,-2.47975864141,-44.211260753471
0,NA,160,0,2,NA,0,"Araçagy, São José de Ribamar - MA",0,2635535459,NA,0,0,1,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-aracagy-sao-jose-de-ribamar-ma-160m2-id-2635535459/",2,580000,0,-2.47975864141,-44.211260753471
0,NA,110,0,3,NA,0,"Araçagy, São José de Ribamar - MA",0,2638523471,NA,0,1,0,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-playground-aracagy-sao-jose-de-ribamar-ma-110m2-id-2638523471/",2,495000,0,-2.47975864141,-44.211260753471
0,NA,160,0,3,22,0,"Araçagy, São José de Ribamar - MA",1,2637606365,22,1,1,1,0,3,1,1,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-160m2-id-2637606365/",2,495000,1,-2.47975864141,-44.211260753471
