"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,"220.0",NA,NA,NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610008546",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-dom-helder-camara-garanhuns-pe-220m2-id-2610008546/",NA,"20000.0",NA,-8.86532,-36.50062
NA,NA,"2347.0",NA,NA,"1.0",NA,"Rua Paulo Barbosa Ferreira, 100 - Heliopolis, Garanhuns - PE",NA,"2638682353","1.0",NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-heliopolis-garanhuns-pe-2347m2-id-2638682353/",NA,"2648773.0",NA,-8.893960010677,-36.4819555825
NA,NA,NA,NA,NA,NA,NA,"Rua Conselheiro João Francisco da Silva, 16 - Santo Antonio, Garanhuns - PE",NA,"2610009341",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-santo-antonio-garanhuns-pe-id-2610009341/",NA,"400000.0",NA,-8.88974,-36.4896
NA,NA,"250.0",NA,NA,NA,NA,"Rodovia BR-424 - Aloisio Souto Pinto, Garanhuns - PE",NA,"2568162108",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aloisio-souto-pinto-garanhuns-pe-250m2-id-2568162108/",NA,"117600.0",NA,-8.897053663996,-36.50212564938
NA,NA,"2717.0",NA,NA,NA,NA,"Heliopolis, Garanhuns - PE",NA,"2638804500",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-heliopolis-garanhuns-pe-2717m2-id-2638804500/",NA,"250000.0",NA,-8.88638,-36.47507
"0",NA,"400.0","0","5.0",NA,"0","Heliopolis, Garanhuns - PE","0","2610011429",NA,"1.0","1.0","0","1.0","5.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-heliopolis-garanhuns-pe-400m2-id-2610011429/","4.0","1550000.0","0",-8.88638,-36.47507
NA,NA,"200.0",NA,"3.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610009340",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-heliopolis-garanhuns-pe-200m2-id-2610009340/","2.0","750000.0",NA,-8.88638,-36.47507
NA,NA,"86.0",NA,"1.0",NA,NA,"Rua Presidente Castelo Branco, 4 - Heliopolis, Garanhuns - PE",NA,"2637210458",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-86m2-id-2637210458/","1.0","350000.0",NA,-8.887980823538,-36.476684165648
NA,NA,"6903.0",NA,NA,NA,NA,"Severiano de Moraes Filho, Garanhuns - PE",NA,"2610008101",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-severiano-de-moraes-filho-garanhuns-pe-6903m2-id-2610008101/",NA,"650000.0",NA,-8.88361,-36.45677
NA,NA,"1050.0",NA,"2.0",NA,NA,"Rua São Miguel, 830 - Sao Jose, Garanhuns - PE",NA,"2611056482",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-sao-jose-garanhuns-pe-1050m2-id-2611056482/","10.0","480000.0",NA,-8.899401294772,-36.491372830822
NA,NA,"300.0",NA,NA,NA,NA,"Novo Heliopolis, Garanhuns - PE",NA,"2612570675",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-novo-heliopolis-garanhuns-pe-300m2-id-2612570675/",NA,"45000.0",NA,-8.87143,-36.4557
NA,NA,NA,NA,NA,NA,NA,"Severiano de Moraes Filho, Garanhuns - PE",NA,"2610009338",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-severiano-de-moraes-filho-garanhuns-pe-id-2610009338/",NA,"55000.0",NA,-8.88361,-36.45677
NA,NA,"274.0",NA,"3.0",NA,NA,"Novo Heliopolis, Garanhuns - PE",NA,"2631270864",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-novo-heliopolis-garanhuns-pe-274m2-id-2631270864/","6.0","690000.0",NA,-8.87143,-36.4557
