academia,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,vaga,valor,varanda_gourmet,latitude,longitude,area_aluguel,valor_aluguel,qnt_beneficio
0.0,120.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,2.0,800000.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
0.0,50.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,flats,1.0,741111.0,0.0,-7.08161,-34.83475,62.0,3500.0,
1.0,30.0,0.0,1.0,250.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,flats,,320000.0,0.0,-7.119935086644,-34.823791386907,56.0,3500.0,
0.0,76.0,0.0,1.0,,1.0,0.0,,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,apartamentos,2.0,653576.0,1.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,53.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,250000.0,0.0,-7.1483721,-34.8385343,61.0,1500.0,120.0
0.0,474.0,0.0,4.0,,0.0,0.0,260.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,casas,6.0,3300000.0,0.0,-7.12209998496,-34.85338000341,60.0,2450.0,
1.0,30.0,0.0,1.0,,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,apartamentos,,363682.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
0.0,30.0,0.0,1.0,,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,flats,1.0,411000.0,1.0,-7.08161,-34.83475,62.0,3500.0,
0.0,35.0,0.0,1.0,120.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,1.0,250000.0,0.0,-7.0619087,-34.8479582,60.0,2400.0,65.0
0.0,30.0,0.0,1.0,,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,flats,1.0,299000.0,0.0,-7.065866466648,-34.839650741192,60.0,2400.0,65.0
1.0,30.0,0.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,,411725.0,0.0,-7.0728671,-34.837559,60.0,2400.0,65.0
0.0,300.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,casas,,280000.0,0.0,-7.1006548,-34.8550283,59.0,1250.0,82.0
1.0,65.0,1.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,apartamentos,1.0,383000.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
1.0,104.0,0.0,3.0,750000.0,1.0,1.0,550.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,apartamentos,2.0,750000.0,0.0,-7.113009828961,-34.851420707584,95.0,2850.0,15.0
0.0,45.0,1.0,1.0,,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,125000.0,0.0,-7.1791354,-34.8710909,60.0,900.0,
1.0,58.0,0.0,2.0,,1.0,1.0,,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,apartamentos,1.0,472500.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,131.0,0.0,4.0,704.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,apartamentos,3.0,987000.0,0.0,-7.1214602,-34.8379003,67.0,2550.0,92.0
0.0,50.0,0.0,1.0,150.0,0.0,0.0,250.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,apartamentos,1.0,80000.0,0.0,-7.145640015204,-34.830820027194,60.0,900.0,
